stack,attack_mode,perturbation_budget,force_escalation_fraction,load_multiplier,total_arrival_rate_per_s,expensive_service_rate_per_s,escalated_arrival_rate_per_s,expensive_utilization,strategy,queue_stable,resource_bound_preserved,fail_closed_safety_semantics_preserved,ordinary_response_fraction,defer_reject_fraction,expensive_bypass_fraction
rule_compact_to_qwen,synthetic_route_pressure,0.0,0.27504445761707175,0.5,0.8047979244628504,0.6762076224825601,0.22135520862522975,0.3273479938196625,fail_open_budget_cap,True,True,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.0,0.27504445761707175,0.5,0.8047979244628504,0.6762076224825601,0.22135520862522975,0.3273479938196625,fail_closed_no_admission,True,True,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.0,0.27504445761707175,0.5,0.8047979244628504,0.6762076224825601,0.22135520862522975,0.3273479938196625,fail_closed_defer_reject,True,True,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.0,0.27504445761707175,1.0,1.6095958489257007,0.6762076224825601,0.4427104172504595,0.654695987639325,fail_open_budget_cap,True,True,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.0,0.27504445761707175,1.0,1.6095958489257007,0.6762076224825601,0.4427104172504595,0.654695987639325,fail_closed_no_admission,True,True,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.0,0.27504445761707175,1.0,1.6095958489257007,0.6762076224825601,0.4427104172504595,0.654695987639325,fail_closed_defer_reject,True,True,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.0,0.27504445761707175,1.25,2.011994811157126,0.6762076224825601,0.5533880215630744,0.8183699845491563,fail_open_budget_cap,True,True,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.0,0.27504445761707175,1.25,2.011994811157126,0.6762076224825601,0.5533880215630744,0.8183699845491563,fail_closed_no_admission,True,True,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.0,0.27504445761707175,1.25,2.011994811157126,0.6762076224825601,0.5533880215630744,0.8183699845491563,fail_closed_defer_reject,True,True,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.0,0.27504445761707175,1.5,2.414393773388551,0.6762076224825601,0.6640656258756893,0.9820439814589876,fail_open_budget_cap,True,True,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.0,0.27504445761707175,1.5,2.414393773388551,0.6762076224825601,0.6640656258756893,0.9820439814589876,fail_closed_no_admission,True,True,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.0,0.27504445761707175,1.5,2.414393773388551,0.6762076224825601,0.6640656258756893,0.9820439814589876,fail_closed_defer_reject,True,True,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.0,0.27504445761707175,2.0,3.2191916978514015,0.6762076224825601,0.885420834500919,1.30939197527865,fail_open_budget_cap,True,True,False,1.0,0.0,0.06498936119833902
