split,family,policy_id,frozen_role,n,positive_n,negative_n,tp,fn,fp,tn,recall,fpr,precision,accuracy,intercept_rate,recall_ci95_low,recall_ci95_high,fpr_ci95_low,fpr_ci95_high,fpr_one_sided95_upper,avg_estimated_cost_ms,median_estimated_cost_ms,p95_estimated_cost_ms,rule_call_rate,compact_call_rate,qwen_call_rate
calibration,cost_tuned_cascade,cascade_rl0_rh0.9219_cl0.005781_ch0.4674_q1,primary_budget_aware_policy,422,76,346,56,20,16,330,0.7368421052631579,0.046242774566473986,0.7777777777777778,0.9146919431279621,0.17061611374407584,0.623239947410814,0.8312605531782771,0.026659424731597034,0.07401061965320715,0.06938977131925557,1166.769375528436,1407.7604254999999,1407.7604254999999,1.0,0.9739336492890995,0.8246445497630331
calibration,strongest_single_monitor,qwen_only_t_1,required_baseline,422,76,346,56,20,6,340,0.7368421052631579,0.017341040462427744,0.9032258064516129,0.9383886255924171,0.14691943127962084,0.623239947410814,0.8312605531782771,0.006389774658723335,0.037360195803137486,0.03393812179678088,1368.6388044999999,1368.6388044999999,1368.6388044999999,0.0,0.0,1.0
calibration,all_monitors_always_on,all_max_t_1,required_baseline,422,76,346,56,20,6,340,0.7368421052631579,0.017341040462427744,0.9032258064516129,0.9383886255924171,0.14691943127962084,0.623239947410814,0.8312605531782771,0.006389774658723335,0.037360195803137486,0.03393812179678088,1407.7604255,1407.7604254999999,1407.7604254999999,1.0,1.0,1.0
calibration,learned_stacker_router,serialized_router_low0.1121_high0.3989_full0.8128,required_baseline,422,76,346,35,41,17,329,0.4605263157894737,0.049132947976878616,0.6730769230769231,0.8625592417061612,0.12322274881516587,0.34547753015843,0.5787451749673292,0.028878765269430486,0.07750288727911941,0.07278906306362326,532.0910482132701,39.121621000000005,1407.7604254999999,1.0,1.0,0.36018957345971564
calibration,fixed_cascade,fixed_rule_gate_010_to_qwen_005,required_baseline,422,76,346,17,59,0,346,0.2236842105263158,0.0,1.0,0.8601895734597157,0.04028436018957346,0.13603639987892516,0.3338045090938854,0.0,0.010604868948045075,0.008620811613261874,153.46645204620853,1.035116,1369.6739205,1.0,0.0,0.11137440758293839
calibration,cheapest_monitor_only,rule_only_t_0.7498301,required_baseline,422,76,346,14,62,16,330,0.18421052631578946,0.046242774566473986,0.4666666666666667,0.8151658767772512,0.07109004739336493,0.10453276041563338,0.2897156019558712,0.026659424731597034,0.07401061965320715,0.06938977131925557,1.0351160000000001,1.035116,1.035116,1.0,0.0,0.0
final_test,cost_tuned_cascade,cascade_rl0_rh0.9219_cl0.005781_ch0.4674_q1,primary_budget_aware_policy,422,74,348,58,16,14,334,0.7837837837837838,0.040229885057471264,0.8055555555555556,0.9289099526066351,0.17061611374407584,0.6727630303360699,0.871067027690134,0.02216568843992872,0.06657827457063262,0.06217831166867447,1205.4172573744074,1407.7604254999999,1407.7604254999999,1.0,0.966824644549763,0.8530805687203792
final_test,strongest_single_monitor,qwen_only_t_1,required_baseline,422,74,348,57,17,10,338,0.7702702702702703,0.028735632183908046,0.8507462686567164,0.9360189573459715,0.15876777251184834,0.6578593234894734,0.8601113460413513,0.013864071683102604,0.052209668165394456,0.048254495910138064,1368.6388044999999,1368.6388044999999,1368.6388044999999,0.0,0.0,1.0
final_test,all_monitors_always_on,all_max_t_1,required_baseline,422,74,348,57,17,10,338,0.7702702702702703,0.028735632183908046,0.8507462686567164,0.9360189573459715,0.15876777251184834,0.6578593234894734,0.8601113460413513,0.013864071683102604,0.052209668165394456,0.048254495910138064,1407.7604255,1407.7604254999999,1407.7604254999999,1.0,1.0,1.0
final_test,learned_stacker_router,serialized_router_low0.1121_high0.3989_full0.8128,required_baseline,422,74,348,38,36,15,333,0.5135135135135135,0.04310344827586207,0.7169811320754716,0.8791469194312796,0.12559241706161137,0.39442136177418957,0.6314908818157843,0.024322243308636728,0.07009686472838624,0.06559717894199792,489.92918930687205,39.121621000000005,1407.7604254999999,1.0,1.0,0.3293838862559242
