mode,n,positive_n,negative_n,roc_auc,average_precision,unsafe_threshold,recall,fpr,precision,safe_label_n,controversial_label_n,unsafe_label_n
prompt_only,2159,403,1756,0.8308302763442744,0.423630272888112,1.0,0.890818858560794,0.25968109339407747,0.4404907975460123,1224,120,815
response_only,2159,403,1756,0.9054825143994076,0.7613118509515574,1.0,0.6873449131513648,0.01879271070615034,0.8935483870967742,1695,154,310
prompt_response,2159,403,1756,0.9255703239372135,0.7676579338938998,1.0,0.8138957816377171,0.034738041002277904,0.8431876606683805,1694,76,389
