scheme,method,n,positive_n,negative_n,tp,fn,fp,tn,recall,fpr,precision,accuracy,intercept_rate,recall_ci95_low,recall_ci95_high,fpr_ci95_low,fpr_ci95_high,fpr_one_sided95_upper,qwen_call_rate,avg_estimated_cost_ms
leave_family_out,full_information_always_on,200,119,81,99,20,10,71,0.8319327731092437,0.12345679012345678,0.908256880733945,0.85,0.545,0.7524373934729898,0.8942122666734293,0.06082024925131718,0.21534469804755527,0.20040906761374108,1.0,1407.7604255
leave_family_out,selective_acquisition,200,119,81,99,20,12,69,0.8319327731092437,0.14814814814814814,0.8918918918918919,0.84,0.555,0.7524373934729898,0.8942122666734293,0.07896200813393921,0.24448893510714662,0.2289551524680735,0.88,1243.52376896
leave_source_out,full_information_always_on,2159,403,1756,241,162,32,1724,0.598014888337469,0.018223234624145785,0.8827838827838828,0.9101435849930524,0.12644742936544698,0.5483290890817829,0.6462503517098688,0.012497230205641486,0.025629087412971218,0.024400765355331568,1.0,1407.7604255
leave_source_out,selective_acquisition,2159,403,1756,134,269,37,1719,0.3325062034739454,0.021070615034168565,0.783625730994152,0.8582677165354331,0.07920333487725799,0.2866478931105369,0.38084617686614497,0.014877995669694657,0.02892701812885962,0.027627115580579682,0.18202871699861048,288.25318661764703
