split,target_fpr,full_recall,selective_recall,recall_difference_selective_minus_full,recall_difference_ci_low,recall_difference_ci_high,full_fpr,selective_fpr,fpr_difference_selective_minus_full,fpr_difference_ci_low,fpr_difference_ci_high,selective_expensive_call_rate,selective_expensive_call_reduction
calibration,0.05,0.7083333333333334,0.7083333333333334,0.0,-0.0416666666666666,0.0416666666666666,0.0257142857142857,0.04,0.0142857142857142,0.0,0.0314285714285714,0.7582938388625592,0.2417061611374408
final_test,0.05,0.75,0.75,0.0,-0.0694444444444444,0.0694444444444444,0.0342857142857142,0.0457142857142857,0.0114285714285714,0.0028571428571428,0.0228571428571428,0.7417061611374408,0.2582938388625592
held_out_shift,0.05,0.9117647058823528,0.8823529411764706,-0.0294117647058823,-0.088235294117647,0.0,0.375,0.4375,0.0625,0.0,0.1875,0.84,0.16
