family,policy_id,frozen_role,positives,negatives,recall,recall_ci95_low,recall_ci95_high,miss_rate_fnr,miss_rate_fnr_one_sided95_upper,fpr,fpr_one_sided95_upper,avg_cost_ms,judge_call_rate
cost_tuned_cascade,cascade_rl0_rh0.7498_cl0.005781_ch0.4674_j0.52,primary_budget_aware_policy,72,350,0.5138888888888888,0.3931000464796619,0.6334997211807669,0.4861111111111111,0.5889419017013314,0.07714285714285714,0.10481438991555957,194.30033872545033,0.7796208530805687
learned_stacker_router,learned_router_low0.3668_high0.7676_final0.9112,required_baseline,72,350,0.4861111111111111,0.3665002788192331,0.606899953520338,0.5138888888888888,0.6158365146143101,0.06,0.0852545937243758,208.45755111585868,0.8625592417061612
strongest_single_monitor,judge_only_t_0.52004469,required_baseline,72,350,0.4583333333333333,0.34024583953703325,0.5799555909254568,0.5416666666666666,0.6424391234162099,0.02,0.03723655019375728,226.44326432466198,1.0
all_monitors_always_on,all_max_t_0.73319402,required_baseline,72,350,0.3472222222222222,0.23881276940536406,0.46863283128129885,0.6527777777777778,0.7458174850055397,0.06857142857142857,0.0950824614712035,232.34944249737788,1.0
cheapest_monitor_only,rule_only_t_0.7498301,required_baseline,72,350,0.16666666666666666,0.08919640600812592,0.27303927891193064,0.8333333333333334,0.9009195065926633,0.05142857142857143,0.07531170016424905,1.3775066018925608,0.0
fixed_cascade,fixed_rule_gate_010_to_judge_005,required_baseline,72,350,0.125,0.05878331705656036,0.22407193574325332,0.875,0.933213979924841,0.005714285714285714,0.017877909894280317,33.94773072038012,0.11137440758293839
