family,policy_id,selection_split,n,positives,negatives,tp,fp,tn,fn,recall,fpr,precision,intercept_rate,avg_cost_ms,median_cost_ms,p95_cost_ms,normalized_avg_cost_vs_rule,normalized_median_cost_vs_rule,policy_details_json
cost_tuned_cascade,cascade_rl0_rh0.7498_cl0.005781_ch0.4674_j0.52,policy_selection,421,72,349,45,13,336,27,0.625,0.03724928366762178,0.7758620689655172,0.1377672209026128,188.09956343471785,153.1248051873888,477.73234237472195,193.67767411763035,157.66573604356864,"{""compact_high_intercept_threshold"": 0.46738710564095515, ""compact_low_allow_threshold"": 0.0057813970110146325, ""judge_threshold"": 0.5200446903705598, ""route"": ""rule allow/intercept bands; compact allow/intercept bands; judge only for unresolved examples"", ""rule_high_intercept_threshold"": 0.7498301045120662, ""rule_low_allow_threshold"": 0.0}"
learned_stacker_router,learned_router_low0.3668_high0.7676_final0.9112,policy_selection,421,72,349,44,11,338,28,0.6111111111111112,0.03151862464183381,0.8,0.13064133016627077,195.71699578507275,154.05277087477032,482.2602183126179,201.52100215851206,158.62122064284787,"{""cheap_features"": [""rule_score"", ""compact_unsafe_score""], ""full_features"": [""rule_score"", ""compact_unsafe_score"", ""judge_unsafe_score""], ""route"": ""run rule and compact; allow/intercept if cheap router confident; otherwise run judge and full stacker"", ""router_high_intercept_threshold"": 0.7675510316964942, ""router_low_allow_threshold"": 0.366796223357278, ""stacker_final_threshold"": 0.9112237693305377}"
strongest_single_monitor,judge_only_t_0.52004469,policy_selection,421,72,349,41,4,345,31,0.5694444444444444,0.011461318051575931,0.9111111111111111,0.10688836104513064,207.9535492494014,155.04769900007886,486.40890200022113,214.1204317951987,159.6456534576048,"{""monitor"": ""qwen3guard_gen_4b"", ""threshold"": 0.5200446903705598}"
all_monitors_always_on,all_max_t_0.73319402,policy_selection,421,72,349,30,12,337,42,0.4166666666666667,0.034383954154727794,0.7142857142857143,0.0997624703087886,213.66132702972482,163.38246937500855,491.6627218127161,219.99747427571992,168.22759225131793,"{""aggregation"": ""max_score"", ""monitors"": [""rule_filter_v1"", ""koala_text_moderation"", ""qwen3guard_gen_4b""], ""threshold"": 0.7331940240189964}"
cheapest_monitor_only,rule_only_t_0.7498301,policy_selection,421,72,349,10,10,339,62,0.1388888888888889,0.02865329512893983,0.5,0.047505938242280284,1.2853356223261831,0.9152369999583243,3.2601750000367247,1.3234523740884168,0.942378441403701,"{""monitor"": ""rule_filter_v1"", ""threshold"": 0.7498301045120662}"
fixed_cascade,fixed_rule_gate_010_to_judge_005,policy_selection,421,72,349,9,1,348,63,0.125,0.0028653295128939827,0.9,0.023752969121140142,25.38043202849862,0.9498990000338381,192.3271300001943,26.133091186499474,0.9780683464322183,"{""judge_threshold"": 0.5200446903705598, ""route"": ""run rule; if rule_score >= train_10pct_fpr_threshold, run judge; intercept if judge_score >= train_5pct_fpr_threshold"", ""rule_gate_threshold"": 0.5934303402594009}"
