scheme,outer_fold,target_fpr,policy,n,positive_n,negative_n,tp,fn,fp,tn,recall,fpr,precision,accuracy,intercept_rate,recall_ci95_low,recall_ci95_high,fpr_ci95_low,fpr_ci95_high,fpr_one_sided95_upper,qwen_call_rate,avg_estimated_cost_ms,estimated_cost_reduction
leave_source_out,jailbreakbench_judge_comparison,0.01,full_information_always_on,200,119,81,68,51,2,79,0.5714285714285714,0.024691358024691357,0.9714285714285714,0.735,0.35,0.4774823535265398,0.6617337762288846,0.0030043515157327527,0.08636286794588804,0.07569019087534423,1.0,1407.7604255,0.0
leave_source_out,jailbreakbench_judge_comparison,0.01,selective_acquisition,200,119,81,63,56,2,79,0.5294117647058824,0.024691358024691357,0.9692307692307692,0.71,0.325,0.4357869125793434,0.6215380792921872,0.0030043515157327527,0.08636286794588804,0.07569019087534423,0.495,716.5978292275,0.49096606478834426
leave_source_out,jailbreakbench_judge_comparison,0.025,full_information_always_on,200,119,81,99,20,11,70,0.8319327731092437,0.13580246913580246,0.9,0.845,0.55,0.7524373934729898,0.8942122666734293,0.06978868598718266,0.23000963156206575,0.21476073280862037,1.0,1407.7604255,0.0
leave_source_out,jailbreakbench_judge_comparison,0.025,selective_acquisition,200,119,81,99,20,11,70,0.8319327731092437,0.13580246913580246,0.9,0.845,0.55,0.7524373934729898,0.8942122666734293,0.06978868598718266,0.23000963156206575,0.21476073280862037,0.85,1202.4646048250002,0.14583150439257742
leave_source_out,jailbreakbench_judge_comparison,0.05,full_information_always_on,200,119,81,118,1,16,65,0.9915966386554622,0.19753086419753085,0.8805970149253731,0.915,0.67,0.9540689995558822,0.9997872679417302,0.11733146905561544,0.3008627448759834,0.2844262169035905,1.0,1407.7604255,0.0
leave_source_out,jailbreakbench_judge_comparison,0.05,selective_acquisition,200,119,81,115,4,15,66,0.9663865546218487,0.18518518518518517,0.8846153846153846,0.905,0.65,0.9161709907504949,0.9907669275533527,0.10751669597964444,0.28697608967809857,0.2707334573889996,0.965,1359.8580673425001,0.034027351024934704
leave_source_out,jailbreakbench_judge_comparison,0.1,full_information_always_on,200,119,81,119,0,18,63,1.0,0.2222222222222222,0.8686131386861314,0.91,0.685,0.9694765551462038,1.0,0.13734189202394653,0.3282777537974119,0.3115086463644208,1.0,1407.7604255,0.0
leave_source_out,jailbreakbench_judge_comparison,0.1,selective_acquisition,200,119,81,116,3,22,59,0.9747899159663865,0.2716049382716049,0.8405797101449275,0.875,0.69,0.9280920195389575,0.9947705921826263,0.17868341853508557,0.3818527550754939,0.3646122607499511,0.76,1079.28711242,0.23333040702812402
leave_source_out,wildguardtest,0.01,full_information_always_on,1709,284,1425,106,178,11,1414,0.3732394366197183,0.0077192982456140355,0.905982905982906,0.8894090111176126,0.0684610883557636,0.31681326059275633,0.43234090177855744,0.0038595609945216327,0.013769891441628983,0.012744887826834441,1.0,1407.7604255000003,0.0
leave_source_out,wildguardtest,0.01,selective_acquisition,1709,284,1425,115,169,28,1397,0.40492957746478875,0.019649122807017545,0.8041958041958042,0.8847279110590989,0.0836746635459333,0.34733694830283823,0.4645275466128123,0.013095430703956972,0.028274001015095657,0.026841163548683197,0.2205968402574605,341.03901672644815,0.7577435687572196
