split,target_fpr,full_recall,full_fpr,full_fpr_one_sided95_upper,full_qwen_call_rate,full_avg_estimated_cost_ms,selective_recall,selective_fpr,selective_fpr_one_sided95_upper,selective_qwen_call_rate,selective_avg_estimated_cost_ms,selective_estimated_cost_reduction,recall_diff_selective_minus_full,recall_diff_ci95_low,recall_diff_ci95_high,fpr_diff_selective_minus_full,fpr_diff_ci95_low,fpr_diff_ci95_high,estimated_cost_reduction_ci95_low,estimated_cost_reduction_ci95_high,cost_advantage_observed,cost_advantage_ci_positive,selective_observed_fpr_within_target,selective_upper_bound_within_target,risk_gate_pass,split_stop_go_pass
calibration,0.05,0.7236842105263158,0.0144508670520231,0.0301429401798302,1.0,1407.7604255,0.7105263157894737,0.0260115606936416,0.0449512286971197,0.7061611374407583,1005.6011559312795,0.2856730891734537,-0.0131578947368421,-0.0657894736842105,0.0263157894736842,0.0115606936416184,0.0,0.0260115606936416,0.2442044149385973,0.3317493938788491,True,True,True,True,True,True
final_test,0.05,0.7567567567567568,0.028735632183908,0.048254495910138,1.0,1407.7604255,0.7162162162162162,0.0402298850574712,0.0621783116686744,0.6895734597156398,982.898616520142,0.3017997958203421,-0.0405405405405405,-0.1216216216216216,0.0405405405405405,0.0114942528735632,0.0028735632183908,0.0229885057471264,0.258027306350216,0.3432684700551981,True,True,True,False,False,False
held_out_shift,0.05,0.9210526315789472,0.1666666666666666,0.4381054351153113,1.0,1407.7604255,0.8947368421052632,0.25,0.5273266035603434,0.84,1188.77821678,0.1555536046854161,-0.0263157894736841,-0.0789473684210526,0.0,0.0833333333333333,0.0,0.25,0.0777768023427081,0.2527746076138012,True,True,False,False,False,False
