split,target_fpr,policy,n,positive_n,negative_n,tp,fn,fp,tn,recall,fpr,precision,accuracy,intercept_rate,recall_ci95_low,recall_ci95_high,fpr_ci95_low,fpr_ci95_high,fpr_one_sided95_upper,qwen_call_rate,avg_estimated_cost_ms,estimated_cost_reduction
calibration,0.01,full_information_always_on,422,76,346,15,61,0,346,0.19736842105263158,0.0,1.0,0.8554502369668247,0.035545023696682464,0.11488530434881021,0.30455125069259564,0.0,0.010604868948045075,0.008620811613261874,1.0,1407.7604255,0.0
calibration,0.01,selective_acquisition,422,76,346,11,65,5,341,0.14473684210526316,0.014450867052023121,0.6875,0.8341232227488151,0.037914691943127965,0.07452893843891269,0.24423396390789112,0.004708368571055002,0.033399558867695536,0.03014294017983029,0.26066350710900477,395.8758117464455,0.7187903534041734
calibration,0.025,full_information_always_on,422,76,346,34,42,1,345,0.4473684210526316,0.002890173410404624,0.9714285714285714,0.8981042654028436,0.08293838862559241,0.3331131078209214,0.5658511778841637,7.317017837783409e-05,0.015997034052550485,0.013636636919581984,1.0,1407.7604255,0.0
calibration,0.025,selective_acquisition,422,76,346,35,41,6,340,0.4605263157894737,0.017341040462427744,0.8536585365853658,0.8886255924170616,0.0971563981042654,0.34547753015843,0.5787451749673292,0.006389774658723335,0.037360195803137486,0.03393812179678088,0.37203791469194314,548.3071477926541,0.6105110373464935
calibration,0.05,full_information_always_on,422,76,346,55,21,5,341,0.7236842105263158,0.014450867052023121,0.9166666666666666,0.9383886255924171,0.14218009478672985,0.609142949216601,0.8201275724428486,0.004708368571055002,0.033399558867695536,0.03014294017983029,1.0,1407.7604255,0.0
calibration,0.05,selective_acquisition,422,76,346,54,22,9,337,0.7105263157894737,0.02601156069364162,0.8571428571428571,0.9265402843601895,0.14928909952606634,0.5951485609426324,0.8088878129116815,0.011961622901764314,0.04880218017554481,0.04495122869711979,0.7061611374407583,1005.6011559312795,0.2856730891734537
calibration,0.1,full_information_always_on,422,76,346,67,9,39,307,0.881578947368421,0.11271676300578035,0.6320754716981132,0.8862559241706162,0.25118483412322273,0.7870667555059112,0.9443957918485749,0.08139130682529064,0.15085527973137708,0.144643350000211,1.0,1407.7604255,0.0
calibration,0.1,selective_acquisition,422,76,346,66,10,36,310,0.868421052631579,0.10404624277456648,0.6470588235294118,0.8909952606635071,0.24170616113744076,0.7713042073923877,0.9350584323239128,0.0739429634955401,0.14112783701708032,0.1350767327924423,0.8293838862559242,1174.248591556872,0.1658746969394247
final_test,0.01,full_information_always_on,422,74,348,15,59,0,348,0.20270270270270271,0.0,1.0,0.8601895734597157,0.035545023696682464,0.11812409898639026,0.31219502823361156,0.0,0.010544243886768955,0.008571479666513825,1.0,1407.7604255,0.0
final_test,0.01,selective_acquisition,422,74,348,13,61,4,344,0.17567567567567569,0.011494252873563218,0.7647058823529411,0.8459715639810427,0.04028436018957346,0.09699276945158891,0.28165670107764,0.0031404330482161917,0.029166828610435482,0.026108926159968338,0.2109004739336493,327.76819351303317,0.7671704733448389
