seed,outer_fold,policy,family,budget_fraction,budget_ms,status,calibration_rows,evaluation_rows,calibration_expected_total_cost_ms,evaluation_mean_total_cost_ms,evaluation_recall,evaluation_fpr,evaluation_acquisition_rate,mixture,error
1729,1,signed_value_cost_aware,Ridge,0.3,1154.5747014991466,evaluated,1349.0,338.0,1154.5747014991466,1195.8384305680474,0.5344827586206896,0.007142857142857143,0.28994082840236685,"{""absolute_cost_budget_ms"": 1154.5747014991466, ""calibration_expected_total_cost_ms"": 1154.5747014991466, ""calibration_lower_threshold_cost_ms"": 1155.362293309859, ""calibration_upper_threshold_cost_ms"": 1153.5595899103039, ""hash_seed"": 1729, ""lower_acquisition_threshold"": 3.920221580281931e-05, ""lower_threshold_probability"": 0.5631051614443099, ""policy_id"": ""development_oof::signed_value_cost_aware::Ridge::budget=0.30::seed=1729::outer_fold=1"", ""upper_acquisition_threshold"": 3.921743546573706e-05}",
1729,2,signed_value_cost_aware,Ridge,0.3,1154.5747014991466,evaluated,1349.0,338.0,1154.5747014991466,1013.8611511005917,0.3898305084745763,0.017921146953405017,0.2455621301775148,"{""absolute_cost_budget_ms"": 1154.5747014991466, ""calibration_expected_total_cost_ms"": 1154.5747014991466, ""calibration_lower_threshold_cost_ms"": 1155.5844893091178, ""calibration_upper_threshold_cost_ms"": 1151.5336239451447, ""hash_seed"": 1729, ""lower_acquisition_threshold"": 3.99324280713492e-05, ""lower_threshold_probability"": 0.7507229396089454, ""policy_id"": ""development_oof::signed_value_cost_aware::Ridge::budget=0.30::seed=1729::outer_fold=2"", ""upper_acquisition_threshold"": 3.993789552868571e-05}",
1729,3,signed_value_cost_aware,Ridge,0.3,1154.5747014991466,evaluated,1350.0,337.0,1154.5747014991466,1235.4803366646884,0.5517241379310345,0.03942652329749104,0.2997032640949555,"{""absolute_cost_budget_ms"": 1154.5747014991466, ""calibration_expected_total_cost_ms"": 1154.5747014991466, ""calibration_lower_threshold_cost_ms"": 1154.950848051111, ""calibration_upper_threshold_cost_ms"": 1152.624679705926, ""hash_seed"": 1729, ""lower_acquisition_threshold"": 3.908904295979131e-05, ""lower_threshold_probability"": 0.8382977944210207, ""policy_id"": ""development_oof::signed_value_cost_aware::Ridge::budget=0.30::seed=1729::outer_fold=3"", ""upper_acquisition_threshold"": 3.918718041166798e-05}",
1729,4,signed_value_cost_aware,Ridge,0.3,1154.5747014991466,evaluated,1350.0,337.0,1154.5747014991466,1273.0992030919883,0.5862068965517241,0.03225806451612903,0.3115727002967359,"{""absolute_cost_budget_ms"": 1154.5747014991466, ""calibration_expected_total_cost_ms"": 1154.5747014991466, ""calibration_lower_threshold_cost_ms"": 1157.1893699377777, ""calibration_upper_threshold_cost_ms"": 1154.5364298155555, ""hash_seed"": 1729, ""lower_acquisition_threshold"": 3.869973860379825e-05, ""lower_threshold_probability"": 0.014426139237195611, ""policy_id"": ""development_oof::signed_value_cost_aware::Ridge::budget=0.30::seed=1729::outer_fold=4"", ""upper_acquisition_threshold"": 3.872640209164807e-05}",
1729,5,signed_value_cost_aware,Ridge,0.3,1154.5747014991466,evaluated,1350.0,337.0,1154.5747014991466,1059.3997254985163,0.43103448275862066,0.017921146953405017,0.26409495548961426,"{""absolute_cost_budget_ms"": 1154.5747014991466, ""calibration_expected_total_cost_ms"": 1154.5747014991466, ""calibration_lower_threshold_cost_ms"": 1156.4987626007405, ""calibration_upper_threshold_cost_ms"": 1153.7784900903703, ""hash_seed"": 1729, ""lower_acquisition_threshold"": 3.979663547305704e-05, ""lower_threshold_probability"": 0.2926954581723039, ""policy_id"": ""development_oof::signed_value_cost_aware::Ridge::budget=0.30::seed=1729::outer_fold=5"", ""upper_acquisition_threshold"": 3.9812697634026066e-05}",
1729,1,signed_value_cost_aware,Ridge,0.5,1895.1034637595142,evaluated,1349.0,338.0,1895.1034637595142,1935.580324760355,0.6724137931034483,0.02142857142857143,0.4970414201183432,"{""absolute_cost_budget_ms"": 1895.1034637595142, ""calibration_expected_total_cost_ms"": 1895.1034637595142, ""calibration_lower_threshold_cost_ms"": 1895.5349002616754, ""calibration_upper_threshold_cost_ms"": 1891.7741505707934, ""hash_seed"": 1729, ""lower_acquisition_threshold"": 2.44909932682688e-05, ""lower_threshold_probability"": 0.8852791231473792, ""policy_id"": ""development_oof::signed_value_cost_aware::Ridge::budget=0.50::seed=1729::outer_fold=1"", ""upper_acquisition_threshold"": 2.453590729289178e-05}",
1729,2,signed_value_cost_aware,Ridge,0.5,1895.1034637595142,evaluated,1349.0,338.0,1895.1034637595142,1984.0285562751478,0.6271186440677966,0.043010752688172046,0.5,"{""absolute_cost_budget_ms"": 1895.1034637595142, ""calibration_expected_total_cost_ms"": 1895.1034637595142, ""calibration_lower_threshold_cost_ms"": 1895.2361994128985, ""calibration_upper_threshold_cost_ms"": 1893.280977040771, ""hash_seed"": 1729, ""lower_acquisition_threshold"": 2.4220655513026528e-05, ""lower_threshold_probability"": 0.9321122470382323, ""policy_id"": ""development_oof::signed_value_cost_aware::Ridge::budget=0.50::seed=1729::outer_fold=2"", ""upper_acquisition_threshold"": 2.4260547930667813e-05}",
1729,3,signed_value_cost_aware,Ridge,0.5,1895.1034637595142,evaluated,1350.0,337.0,1895.103463759514,1802.6005745311572,0.6379310344827587,0.03942652329749104,0.45103857566765576,"{""absolute_cost_budget_ms"": 1895.1034637595142, ""calibration_expected_total_cost_ms"": 1895.103463759514, ""calibration_lower_threshold_cost_ms"": 1897.2747934355552, ""calibration_upper_threshold_cost_ms"": 1894.9587335562962, ""hash_seed"": 1729, ""lower_acquisition_threshold"": 2.5166478968881547e-05, ""lower_threshold_probability"": 0.0624898365167645, ""policy_id"": ""development_oof::signed_value_cost_aware::Ridge::budget=0.50::seed=1729::outer_fold=3"", ""upper_acquisition_threshold"": 2.5183581849031554e-05}",
1729,4,signed_value_cost_aware,Ridge,0.5,1895.1034637595142,evaluated,1350.0,337.0,1895.1034637595142,1927.4067261157272,0.7241379310344828,0.043010752688172046,0.4896142433234421,"{""absolute_cost_budget_ms"": 1895.1034637595142, ""calibration_expected_total_cost_ms"": 1895.1034637595142, ""calibration_lower_threshold_cost_ms"": 1895.6267454718516, ""calibration_upper_threshold_cost_ms"": 1891.8687815214814, ""hash_seed"": 1729, ""lower_acquisition_threshold"": 2.450008125799733e-05, ""lower_threshold_probability"": 0.8607539297214778, ""policy_id"": ""development_oof::signed_value_cost_aware::Ridge::budget=0.50::seed=1729::outer_fold=4"", ""upper_acquisition_threshold"": 2.453590729289178e-05}",
1729,5,signed_value_cost_aware,Ridge,0.5,1895.1034637595142,evaluated,1350.0,337.0,1895.103463759514,1874.2892800445104,0.6724137931034483,0.010752688172043012,0.4629080118694362,"{""absolute_cost_budget_ms"": 1895.1034637595142, ""calibration_expected_total_cost_ms"": 1895.103463759514, ""calibration_lower_threshold_cost_ms"": 1896.9759030474074, ""calibration_upper_threshold_cost_ms"": 1894.5942361066666, ""hash_seed"": 1729, ""lower_acquisition_threshold"": 2.476261691615791e-05, ""lower_threshold_probability"": 0.2138114461500584, ""policy_id"": ""development_oof::signed_value_cost_aware::Ridge::budget=0.50::seed=1729::outer_fold=5"", ""upper_acquisition_threshold"": 2.4798126231747266e-05}",
