policy,family,budget_fraction,budget_ms,seed,rows,recall,false_positive_rate,mean_total_cost_ms,acquisition_rate
current_error_prediction,HistGradientBoostingClassifier,0.1,414.045939238779,1729,1687,0.36082474226804123,0.042263610315186245,428.8138834605809,0.06876111440426794
current_error_prediction,HistGradientBoostingClassifier,0.1,414.045939238779,2718,1687,0.3230240549828179,0.042263610315186245,412.4612823455838,0.06698280972139893
current_error_prediction,HistGradientBoostingClassifier,0.1,414.045939238779,3141,1687,0.3161512027491409,0.03510028653295129,405.0267315684647,0.06461173681090694
current_error_prediction,HistGradientBoostingClassifier,0.1,414.045939238779,5772,1687,0.31958762886597936,0.03868194842406877,416.12667050622406,0.06461173681090694
current_error_prediction,HistGradientBoostingClassifier,0.1,414.045939238779,8111,1687,0.3436426116838488,0.03939828080229226,422.06023158506224,0.07113218731475993
current_error_prediction,HistGradientBoostingClassifier,0.2,784.3103203689628,1729,1687,0.4639175257731959,0.0336676217765043,789.7390427101363,0.15293420272673386
current_error_prediction,HistGradientBoostingClassifier,0.2,784.3103203689628,2718,1687,0.48109965635738833,0.034383954154727794,784.7325363941908,0.15234143449911083
current_error_prediction,HistGradientBoostingClassifier,0.2,784.3103203689628,3141,1687,0.47079037800687284,0.02865329512893983,781.9024769792532,0.14878482513337285
current_error_prediction,HistGradientBoostingClassifier,0.2,784.3103203689628,5772,1687,0.4742268041237113,0.02865329512893983,779.0406660438649,0.15174866627148784
current_error_prediction,HistGradientBoostingClassifier,0.2,784.3103203689628,8111,1687,0.46735395189003437,0.03008595988538682,784.803326969176,0.15234143449911083
current_error_prediction,HistGradientBoostingClassifier,0.3,1154.5747014991466,1729,1687,0.5979381443298969,0.02865329512893983,1164.7718866277417,0.24303497332542975
current_error_prediction,HistGradientBoostingClassifier,0.3,1154.5747014991466,2718,1687,0.6082474226804123,0.0329512893982808,1161.6518656804978,0.24066390041493776
current_error_prediction,HistGradientBoostingClassifier,0.3,1154.5747014991466,3141,1687,0.6116838487972509,0.027220630372492838,1153.4742162874925,0.23651452282157676
current_error_prediction,HistGradientBoostingClassifier,0.3,1154.5747014991466,5772,1687,0.584192439862543,0.027936962750716332,1160.0000762904563,0.24066390041493776
current_error_prediction,HistGradientBoostingClassifier,0.3,1154.5747014991466,8111,1687,0.5945017182130584,0.027220630372492838,1151.6800231612328,0.24066390041493776
current_error_prediction,HistGradientBoostingClassifier,0.5,1895.1034637595142,1729,1687,0.7525773195876289,0.03510028653295129,1889.935382345584,0.42738589211618255
current_error_prediction,HistGradientBoostingClassifier,0.5,1895.1034637595142,2718,1687,0.7353951890034365,0.03581661891117478,1884.2543411031418,0.4202726733847066
current_error_prediction,HistGradientBoostingClassifier,0.5,1895.1034637595142,3141,1687,0.7800687285223368,0.03510028653295129,1889.534553915827,0.4214582098399526
current_error_prediction,HistGradientBoostingClassifier,0.5,1895.1034637595142,5772,1687,0.7731958762886598,0.036532951289398284,1903.34794869591,0.42916419679905154
current_error_prediction,HistGradientBoostingClassifier,0.5,1895.1034637595142,8111,1687,0.7594501718213058,0.03510028653295129,1907.5227727664494,0.42501481920569056
current_error_prediction,HistGradientBoostingClassifier,0.75,2820.764416584974,1729,1687,0.8350515463917526,0.04154727793696275,2815.698229698874,0.6745702430349734
current_error_prediction,HistGradientBoostingClassifier,0.75,2820.764416584974,2718,1687,0.8316151202749141,0.04369627507163324,2822.182027465323,0.6751630112625964
current_error_prediction,HistGradientBoostingClassifier,0.75,2820.764416584974,3141,1687,0.8419243986254296,0.04656160458452722,2819.0846633526967,0.6769413159454654
current_error_prediction,HistGradientBoostingClassifier,0.75,2820.764416584974,5772,1687,0.8419243986254296,0.04727793696275072,2817.1227877735623,0.6704208654416123
current_error_prediction,HistGradientBoostingClassifier,0.75,2820.764416584974,8111,1687,0.8384879725085911,0.04369627507163324,2817.796591489034,0.6680497925311203
current_error_prediction,HistGradientBoostingClassifier,1.0,3746.425369410433,1729,1687,0.852233676975945,0.044412607449856735,3741.6255545127447,0.967397747480735
current_error_prediction,HistGradientBoostingClassifier,1.0,3746.425369410433,2718,1687,0.852233676975945,0.04512893982808023,3742.029737641375,0.967397747480735
current_error_prediction,HistGradientBoostingClassifier,1.0,3746.425369410433,3141,1687,0.8556701030927835,0.0494269340974212,3748.9765298304683,0.970954356846473
current_error_prediction,HistGradientBoostingClassifier,1.0,3746.425369410433,5772,1687,0.8625429553264605,0.0494269340974212,3745.2499518144637,0.968583283935981
current_error_prediction,HistGradientBoostingClassifier,1.0,3746.425369410433,8111,1687,0.8625429553264605,0.045845272206303724,3741.815272586841,0.967397747480735
current_error_prediction,LogisticRegression,0.1,414.045939238779,1729,1687,0.29896907216494845,0.042263610315186245,416.72826410195614,0.06579727326615294
current_error_prediction,LogisticRegression,0.1,414.045939238779,2718,1687,0.3161512027491409,0.04297994269340974,418.6535773977475,0.06520450503852994
current_error_prediction,LogisticRegression,0.1,414.045939238779,3141,1687,0.3127147766323024,0.04512893982808023,418.20406014819207,0.06579727326615294
current_error_prediction,LogisticRegression,0.1,414.045939238779,5772,1687,0.32646048109965636,0.04369627507163324,424.07144833017185,0.06816834617664493
current_error_prediction,LogisticRegression,0.1,414.045939238779,8111,1687,0.30584192439862545,0.042263610315186245,417.9558574285715,0.06639004149377593
current_error_prediction,LogisticRegression,0.2,784.3103203689628,1729,1687,0.45017182130584193,0.0329512893982808,784.4643665305275,0.15056312981624184
current_error_prediction,LogisticRegression,0.2,784.3103203689628,2718,1687,0.47079037800687284,0.03581661891117478,788.1970850302312,0.15056312981624184
current_error_prediction,LogisticRegression,0.2,784.3103203689628,3141,1687,0.44673539518900346,0.036532951289398284,796.9228886757558,0.15115589804386484
current_error_prediction,LogisticRegression,0.2,784.3103203689628,5772,1687,0.47766323024054985,0.03581661891117478,794.211975327208,0.15115589804386484
current_error_prediction,LogisticRegression,0.2,784.3103203689628,8111,1687,0.45017182130584193,0.032234957020057305,784.3490153319502,0.14878482513337285
current_error_prediction,LogisticRegression,0.3,1154.5747014991466,1729,1687,0.5807560137457045,0.02865329512893983,1155.2884473005336,0.23829282750444578
current_error_prediction,LogisticRegression,0.3,1154.5747014991466,2718,1687,0.584192439862543,0.036532951289398284,1153.393585889745,0.23829282750444578
current_error_prediction,LogisticRegression,0.3,1154.5747014991466,3141,1687,0.5532646048109966,0.03581661891117478,1160.7613287682277,0.23829282750444578
current_error_prediction,LogisticRegression,0.3,1154.5747014991466,5772,1687,0.5945017182130584,0.03939828080229226,1170.6969328998223,0.24362774155305275
current_error_prediction,LogisticRegression,0.3,1154.5747014991466,8111,1687,0.5532646048109966,0.032234957020057305,1158.2632788630706,0.23829282750444578
current_error_prediction,LogisticRegression,0.5,1895.1034637595142,1729,1687,0.7216494845360825,0.036532951289398284,1889.7178571221104,0.4214582098399526
current_error_prediction,LogisticRegression,0.5,1895.1034637595142,2718,1687,0.7147766323024055,0.03796561604584527,1896.1129405898043,0.42620035566093656
current_error_prediction,LogisticRegression,0.5,1895.1034637595142,3141,1687,0.7216494845360825,0.04011461318051576,1893.6760118879668,0.4214582098399526
current_error_prediction,LogisticRegression,0.5,1895.1034637595142,5772,1687,0.7319587628865979,0.03581661891117478,1891.8877216378187,0.42501481920569056
current_error_prediction,LogisticRegression,0.5,1895.1034637595142,8111,1687,0.718213058419244,0.034383954154727794,1897.2662525939538,0.42916419679905154
current_error_prediction,LogisticRegression,0.75,2820.764416584974,1729,1687,0.8316151202749141,0.04154727793696275,2818.8454851606402,0.6769413159454654
current_error_prediction,LogisticRegression,0.75,2820.764416584974,2718,1687,0.8109965635738832,0.04011461318051576,2824.0362651155897,0.6822762299940723
current_error_prediction,LogisticRegression,0.75,2820.764416584974,3141,1687,0.8178694158075601,0.04512893982808023,2825.685142946058,0.6793123888559573
current_error_prediction,LogisticRegression,0.75,2820.764416584974,5772,1687,0.8316151202749141,0.04512893982808023,2824.472643736811,0.6793123888559573
current_error_prediction,LogisticRegression,0.75,2820.764416584974,8111,1687,0.8144329896907216,0.04154727793696275,2817.5221685364554,0.6775340841730884
current_error_prediction,LogisticRegression,1.0,3746.425369410433,1729,1687,0.852233676975945,0.04512893982808023,3743.5521496804977,0.977474807350326
current_error_prediction,LogisticRegression,1.0,3746.425369410433,2718,1687,0.852233676975945,0.044412607449856735,3752.6703342981627,0.980438648488441
