policy,family,budget_fraction,budget_ms,seed_count,mean_recall,mean_fpr,max_seed_fpr,mean_total_cost_ms,mean_acquisition_rate,recall_bootstrap_lcb_95,recall_bootstrap_median,recall_bootstrap_ucb_95
current_error_prediction,HistGradientBoostingClassifier,0.1,414.045939238779,5,0.3326460481099656,0.03954154727793696,0.042263610315186245,416.89775989318315,0.06721991701244814,0.2920840905130567,0.33225281075969315,0.37320034240202465
current_error_prediction,HistGradientBoostingClassifier,0.2,784.3103203689628,5,0.47147766323024054,0.031088825214899713,0.034383954154727794,784.0436098193243,0.15163011262596326,0.4308192834562698,0.47155237653492177,0.5123717581172078
current_error_prediction,HistGradientBoostingClassifier,0.3,1154.5747014991466,5,0.5993127147766323,0.028796561604584527,0.0329512893982808,1158.3156136094844,0.24030823947836394,0.5595811268066265,0.5986928104575163,0.6390252255262279
current_error_prediction,HistGradientBoostingClassifier,0.5,1895.1034637595142,5,0.7601374570446735,0.03553008595988538,0.036532951289398284,1894.9189997653825,0.42465915826911677,0.7240866015093407,0.7603961474766844,0.7963649491302922
current_error_prediction,HistGradientBoostingClassifier,0.75,2820.764416584974,5,0.8378006872852234,0.04455587392550143,0.04727793696275072,2818.376859955898,0.6730290456431535,0.804137220049769,0.8382550335570469,0.8712239620068651
current_error_prediction,HistGradientBoostingClassifier,1.0,3746.425369410433,5,0.8570446735395189,0.04684813753581662,0.0494269340974212,3743.9394092771786,0.9683461766449317,0.8246662100456621,0.8572463768115941,0.8898574328470944
current_error_prediction,LogisticRegression,0.1,414.045939238779,5,0.3120274914089347,0.04326647564469914,0.04512893982808023,419.12264148132783,0.06627148784825133,0.27026930155962414,0.3117360836518606,0.3543110585452395
current_error_prediction,LogisticRegression,0.2,784.3103203689628,5,0.459106529209622,0.03467048710601719,0.036532951289398284,789.6290661791346,0.15044457617071724,0.4136986301369864,0.4588235294117647,0.5026845637583892
current_error_prediction,LogisticRegression,0.3,1154.5747014991466,5,0.5731958762886599,0.03452722063037249,0.03939828080229226,1159.6807147442798,0.23935981031416714,0.5290916518688789,0.5732887867565035,0.6167859922997624
current_error_prediction,LogisticRegression,0.5,1895.1034637595142,5,0.7216494845360825,0.036962750716332385,0.04011461318051576,1893.7321567663307,0.42465915826911677,0.6810017433865011,0.7215946843853821,0.762127189075322
current_error_prediction,LogisticRegression,0.75,2820.764416584974,5,0.8213058419243987,0.04269340974212034,0.04512893982808023,2822.112341099111,0.6790752815649082,0.7869131591513745,0.8218369946642312,0.8554410569105692
current_error_prediction,LogisticRegression,1.0,3746.425369410433,5,0.8570446735395189,0.046418338108882524,0.04871060171919771,3745.7274789883813,0.9772377000592767,0.8246662100456621,0.8572463768115941,0.8898574328470944
current_error_prediction,RandomForestClassifier,0.1,414.045939238779,5,0.2831615120274914,0.03538681948424069,0.04011461318051576,415.4932754032009,0.05880260818020154,0.2434046425105144,0.2827093156620365,0.3236382910375843
current_error_prediction,RandomForestClassifier,0.2,784.3103203689628,5,0.4247422680412371,0.02593123209169055,0.027936962750716332,783.998642940249,0.14380557202133964,0.38279384501297736,0.424406779661017,0.4674154154154154
current_error_prediction,RandomForestClassifier,0.3,1154.5747014991466,5,0.5580756013745705,0.025501432664756452,0.029369627507163324,1156.3007831471252,0.23272080616478957,0.5170407744407197,0.5579117697155511,0.6
current_error_prediction,RandomForestClassifier,0.5,1895.1034637595142,5,0.7312714776632303,0.035530085959885396,0.03724928366762178,1895.1464664360403,0.41149970361588617,0.692132406434403,0.7313028241599671,0.7692307692307692
current_error_prediction,RandomForestClassifier,0.75,2820.764416584974,5,0.8323024054982818,0.044985673352435536,0.04871060171919771,2817.7346506323656,0.6569057498518079,0.797864768683274,0.8324515806572537,0.865753889017878
current_error_prediction,RandomForestClassifier,1.0,3746.425369410433,5,0.8570446735395189,0.04699140401146132,0.0494269340974212,3745.8691763433317,0.9517486662714878,0.8246662100456621,0.8572463768115941,0.8898574328470944
signed_value_cost_aware,HistGradientBoostingRegressor,0.1,414.045939238779,5,0.32852233676975945,0.031088825214899713,0.036532951289398284,419.5018394570243,0.08346176644931833,0.28802304539310164,0.3279871382636656,0.3686876485262648
signed_value_cost_aware,HistGradientBoostingRegressor,0.2,784.3103203689628,5,0.4439862542955327,0.026074498567335246,0.02865329512893983,783.7795746262003,0.17984588026081802,0.40349468870230115,0.4439344262295082,0.484040523380997
signed_value_cost_aware,HistGradientBoostingRegressor,0.3,1154.5747014991466,5,0.5347079037800687,0.026504297994269344,0.02865329512893983,1153.2066773263782,0.27480735032602255,0.49424227171164087,0.534973683560256,0.574008613591741
signed_value_cost_aware,HistGradientBoostingRegressor,0.5,1895.1034637595142,5,0.6845360824742268,0.03080229226361031,0.0329512893982808,1899.7711285218732,0.4706579727326615,0.6464158245778402,0.6848484848484848,0.7216233430883112
signed_value_cost_aware,HistGradientBoostingRegressor,0.75,2820.764416584974,5,0.7896907216494844,0.036962750716332385,0.03868194842406877,2833.376787513456,0.7173681090693539,0.7559185943060498,0.7901820589208872,0.823053420596297
signed_value_cost_aware,HistGradientBoostingRegressor,1.0,3746.425369410433,5,0.8508591065292096,0.04498567335243553,0.04799426934097421,3739.3196738895085,0.9729697688203911,0.818253432003432,0.8511475409836066,0.8837662337662338
signed_value_cost_aware,RandomForestRegressor,0.1,414.045939238779,5,0.2852233676975945,0.025501432664756445,0.03008595988538682,413.94508101576764,0.07457024303497332,0.2449245054278944,0.28474576271186447,0.32567760617760616
signed_value_cost_aware,RandomForestRegressor,0.2,784.3103203689628,5,0.4054982817869416,0.02048710601719198,0.022922636103151862,786.9758371465324,0.16727919383521045,0.3630082848186296,0.4048276436105067,0.4480298375459666
signed_value_cost_aware,RandomForestRegressor,0.3,1154.5747014991466,5,0.51340206185567,0.02177650429799427,0.02363896848137536,1159.5568634171902,0.26034380557202136,0.4710408360896961,0.5136054421768708,0.555485418973791
signed_value_cost_aware,RandomForestRegressor,0.5,1895.1034637595142,5,0.6783505154639174,0.03123209169054441,0.0329512893982808,1900.834320914997,0.4591582691167753,0.6390879478827362,0.6787234042553192,0.7166666666666666
signed_value_cost_aware,RandomForestRegressor,0.75,2820.764416584974,5,0.777319587628866,0.03767908309455588,0.04011461318051576,2826.1194485441615,0.7216360403082396,0.7413913098395858,0.7778523489932886,0.8123308854681542
signed_value_cost_aware,RandomForestRegressor,1.0,3746.425369410433,5,0.8467353951890034,0.045128939828080236,0.04871060171919771,3736.1023417261413,0.9663307646710135,0.8132450331125828,0.8468646864686468,0.8797444397423239
signed_value_cost_aware,Ridge,0.1,414.045939238779,5,0.2652920962199313,0.022349570200573064,0.022922636103151862,413.1202180970954,0.08358032009484292,0.22491310308807205,0.2647435897435898,0.3066666666666667
signed_value_cost_aware,Ridge,0.2,784.3103203689628,5,0.39725085910652924,0.01905444126074498,0.022922636103151862,789.1893355509188,0.18648488441019562,0.35337730398242767,0.39675324675324675,0.43973187532820557
signed_value_cost_aware,Ridge,0.3,1154.5747014991466,5,0.5099656357388316,0.022636103151862465,0.024355300859598854,1156.4095166455245,0.2835803200948429,0.4648464163822526,0.5093959731543625,0.5539546439647018
signed_value_cost_aware,Ridge,0.5,1895.1034637595142,5,0.6756013745704468,0.031088825214899713,0.0336676217765043,1900.441135581387,0.4797866034380557,0.6344310528181496,0.6754902798547319,0.7163086342229199
signed_value_cost_aware,Ridge,0.75,2820.764416584974,5,0.8054982817869416,0.03997134670487106,0.042263610315186245,2822.457792698281,0.7140486069946651,0.7704367575122292,0.8058323293884204,0.8401338930220918
signed_value_cost_aware,Ridge,1.0,3746.425369410433,5,0.8570446735395189,0.04670487106017192,0.0494269340974212,3747.0791413590987,0.9761707172495553,0.8246662100456621,0.8572463768115941,0.8898574328470944
threshold_distance,threshold_distance,0.1,414.045939238779,5,0.29759450171821306,0.027936962750716332,0.029369627507163324,416.80940738470656,0.09259039715471251,0.25479452054794527,0.2971223021582734,0.34113487037168816
threshold_distance,threshold_distance,0.2,784.3103203689628,5,0.4027491408934708,0.020057306590257878,0.022922636103151862,795.2169213224659,0.18518079430942502,0.35620891178855973,0.4020654105936722,0.44917051038071587
threshold_distance,threshold_distance,0.3,1154.5747014991466,5,0.46735395189003437,0.018911174785100286,0.02148997134670487,1160.774366196562,0.2714878482513337,0.41956338749817007,0.467109634551495,0.5138937451437451
threshold_distance,threshold_distance,0.5,1895.1034637595142,5,0.6247422680412371,0.03022922636103152,0.03151862464183381,2105.0738442749257,0.5301719027860108,0.5819370122630992,0.6250950570342205,0.6664209306352991
threshold_distance,threshold_distance,0.75,2820.764416584974,5,0.7264604810996563,0.03810888252148997,0.04369627507163324,2921.5299239505634,0.7621813870776526,0.6903633051119923,0.7269438119913114,0.761518195949344
