precision,cases,route_flip_n_cpu_vs_t4,prediction_flip_n_cpu_vs_t4,max_abs_probability_delta_cpu_vs_t4,max_abs_route_margin_delta_cpu_vs_t4,max_abs_decision_margin_delta_cpu_vs_t4
float64,5,0,0,0.0,0.0,0.0
float32,5,0,0,1.4901161193847656e-08,1.4901161193847656e-08,1.4901161193847656e-08
