policy,budget,repetitions,actual_acquisition_rate,incremental_cost_ms_per_example,mean_recall,recall_lower95,recall_upper95,mean_fpr,fpr_lower95,fpr_upper95,risk_feasible
random,0.0,100,0.0,0.0,0.2164948453608247,0.2164948453608247,0.2164948453608247,0.0479942693409742,0.0479942693409742,0.0479942693409742,True
random,0.05,100,0.0474214582098399,75.75865180794302,0.2472164948453608,0.2336769759450171,0.2664089347079037,0.04827363896848135,0.0458452722063037,0.0515759312320916,True
random,0.1,100,0.09780675755779489,156.25221935388262,0.27910652920962187,0.2577319587628865,0.30420962199312707,0.048445558739254976,0.0436962750716332,0.0537249283667621,True
random,0.2,100,0.19857735625370476,317.23935444576165,0.34474226804123714,0.3161512027491409,0.37981099656357376,0.04883954154727789,0.04188753581661886,0.05628581661891109,True
random,0.3,100,0.2993479549496146,478.22648953764065,0.4130240549828178,0.3676975945017182,0.45541237113402055,0.05036532951289392,0.044752865329512864,0.057342406876790764,False
random,0.4,100,0.3983402489626555,636.372675186722,0.4730240549828179,0.42577319587628865,0.5275773195876289,0.05049426934097417,0.0422636103151862,0.0573065902578796,False
random,0.5,100,0.49911084765856545,797.359810278601,0.5395532646048109,0.499914089347079,0.5773195876288659,0.05119627507163318,0.0451289398280802,0.0573065902578796,False
random,0.6,100,0.5986959098992292,956.4529790752813,0.6037457044673539,0.5529209621993126,0.6426116838487973,0.051984240687679026,0.0451289398280802,0.05768266475644693,False
random,0.75,100,0.7480735032602255,1195.0927322703028,0.7034364261168387,0.6579896907216495,0.7406357388316152,0.05198424068767903,0.0451289398280802,0.05911532951289393,False
random,1.0,100,1.0,1597.56057,0.8659793814432991,0.865979381443299,0.865979381443299,0.05372492836676211,0.0537249283667621,0.0537249283667621,False
