setup_id,feature_family,policy,budget,repetition,n,acquired_n,actual_acquisition_rate,mean_realized_value_captured,decision_loss_reduction_vs_never,tp,fn,fp,tn,recall,fpr,precision,decision_loss,fixed_policy_overhead_ms_per_example,optional_monitor_cost_ms_per_example,incremental_cost_ms_per_example,risk_feasible
qwen_after_rule_compact,all_features,learned_decision_value,0.0,,1687,0,0.0,0.0,0.0,63,228,67,1329,0.2164948453608247,0.0479942693409742,0.4846153846153846,0.1748666271487848,159.49735372142882,0.0,159.49735372142882,True
qwen_after_rule_compact,all_features,learned_decision_value,0.05,,1687,80,0.0474214582098399,0.0195613515115589,0.0195613515115589,81,210,52,1344,0.2783505154639175,0.0372492836676217,0.6090225563909775,0.1553052756372258,159.49735372142882,75.75865180794302,235.25600552937186,True
qwen_after_rule_compact,all_features,learned_decision_value,0.1,,1687,165,0.0978067575577949,0.0367516301126259,0.0367516301126259,98,193,40,1356,0.3367697594501718,0.0286532951289398,0.7101449275362319,0.1381149970361588,159.49735372142882,156.25221935388265,315.74957307531145,True
qwen_after_rule_compact,all_features,learned_decision_value,0.2,,1687,335,0.1985773562537048,0.0657972732661529,0.0657972732661529,142,149,35,1361,0.4879725085910653,0.0250716332378223,0.8022598870056498,0.1090693538826318,159.49735372142882,317.2393544457617,476.7367081671905,True
qwen_after_rule_compact,all_features,learned_decision_value,0.3,,1687,505,0.2993479549496147,0.0788381742738589,0.0788381742738589,171,120,42,1354,0.5876288659793815,0.0300859598853868,0.8028169014084507,0.0960284528749259,159.49735372142882,478.2264895376408,637.7238432590697,True
qwen_after_rule_compact,all_features,learned_decision_value,0.4,,1687,672,0.3983402489626556,0.0859513930053349,0.0859513930053349,189,102,48,1348,0.6494845360824743,0.0343839541547277,0.7974683544303798,0.0889152341434499,159.49735372142882,636.372675186722,795.8700289081507,True
qwen_after_rule_compact,all_features,learned_decision_value,0.5,,1687,842,0.4991108476585655,0.0942501481920569,0.0942501481920569,210,81,55,1341,0.7216494845360825,0.0393982808022922,0.7924528301886793,0.0806164789567279,159.49735372142882,797.3598102786011,956.8571640000299,True
qwen_after_rule_compact,all_features,learned_decision_value,0.6,,1687,1010,0.5986959098992294,0.0960284528749259,0.0960284528749259,217,74,59,1337,0.7457044673539519,0.0422636103151862,0.7862318840579711,0.0788381742738589,159.49735372142882,956.4529790752816,1115.9503327967104,True
qwen_after_rule_compact,all_features,learned_decision_value,0.75,,1687,1262,0.7480735032602253,0.1019561351511559,0.1019561351511559,232,59,64,1332,0.7972508591065293,0.0458452722063037,0.7837837837837838,0.0729104919976289,159.49735372142882,1195.0927322703023,1354.5900859917313,True
qwen_after_rule_compact,all_features,learned_decision_value,1.0,,1687,1687,1.0,0.1072910491997628,0.1072910491997628,252,39,75,1321,0.865979381443299,0.0537249283667621,0.7706422018348624,0.0675755779490219,159.49735372142882,1597.56057,1757.057923721429,False
qwen_after_rule_compact,all_features,ordinary_uncertainty,0.0,,1687,0,0.0,0.0,0.0,63,228,67,1329,0.2164948453608247,0.0479942693409742,0.4846153846153846,0.1748666271487848,0.0,0.0,0.0,True
qwen_after_rule_compact,all_features,ordinary_uncertainty,0.05,,1687,80,0.0474214582098399,0.0195613515115589,0.0195613515115589,62,229,33,1363,0.2130584192439862,0.0236389684813753,0.6526315789473685,0.1553052756372258,0.0,75.75865180794302,75.75865180794302,True
qwen_after_rule_compact,all_features,ordinary_uncertainty,0.1,,1687,165,0.0978067575577949,0.0349733254297569,0.0349733254297569,68,223,13,1383,0.2336769759450171,0.0093123209169054,0.8395061728395061,0.1398933017190278,0.0,156.25221935388265,156.25221935388265,True
qwen_after_rule_compact,all_features,ordinary_uncertainty,0.2,,1687,335,0.1985773562537048,0.0592768227622999,0.0592768227622999,113,178,17,1379,0.3883161512027491,0.0121776504297994,0.8692307692307693,0.1155898043864848,0.0,317.2393544457617,317.2393544457617,True
qwen_after_rule_compact,all_features,ordinary_uncertainty,0.3,,1687,505,0.2993479549496147,0.0735032602252519,0.0735032602252519,146,145,26,1370,0.5017182130584192,0.0186246418338108,0.8488372093023255,0.1013633669235329,0.0,478.2264895376408,478.2264895376408,True
qwen_after_rule_compact,all_features,ordinary_uncertainty,0.4,,1687,672,0.3983402489626556,0.0758743331357439,0.0758743331357439,160,131,36,1360,0.5498281786941581,0.0257879656160458,0.8163265306122449,0.0989922940130409,0.0,636.372675186722,636.372675186722,True
qwen_after_rule_compact,all_features,ordinary_uncertainty,0.5,,1687,842,0.4991108476585655,0.0823947836395969,0.0823947836395969,186,105,51,1345,0.6391752577319587,0.0365329512893982,0.7848101265822784,0.0924718435091879,0.0,797.3598102786011,797.3598102786011,True
qwen_after_rule_compact,all_features,ordinary_uncertainty,0.6,,1687,1010,0.5986959098992294,0.0912863070539419,0.0912863070539419,209,82,59,1337,0.718213058419244,0.0422636103151862,0.7798507462686567,0.0835803200948429,0.0,956.4529790752816,956.4529790752816,True
qwen_after_rule_compact,all_features,ordinary_uncertainty,0.75,,1687,1262,0.7480735032602253,0.0983995257854179,0.0983995257854179,230,61,68,1328,0.7903780068728522,0.0487106017191977,0.7718120805369127,0.0764671013633669,0.0,1195.0927322703023,1195.0927322703023,True
qwen_after_rule_compact,all_features,ordinary_uncertainty,1.0,,1687,1687,1.0,0.1072910491997628,0.1072910491997628,252,39,75,1321,0.865979381443299,0.0537249283667621,0.7706422018348624,0.0675755779490219,0.0,1597.56057,1597.56057,False
