setup_id,feature_family,policy,budget,repetition,n,acquired_n,actual_acquisition_rate,mean_realized_value_captured,decision_loss_reduction_vs_never,tp,fn,fp,tn,recall,fpr,precision,decision_loss
compact_after_rule,cheap_features,ordinary_uncertainty,0.0,,1687,0,0.0,0.0,0.0,62,229,71,1325,0.21305841924398625,0.0508595988538682,0.46616541353383456,0.17783046828689983
compact_after_rule,cheap_features,learned_decision_value,0.0,,1687,0,0.0,0.0,0.0,62,229,71,1325,0.21305841924398625,0.0508595988538682,0.46616541353383456,0.17783046828689983
compact_after_rule,cheap_features,oracle_realized_value_diagnostic,0.0,,1687,0,0.0,0.0,0.0,62,229,71,1325,0.21305841924398625,0.0508595988538682,0.46616541353383456,0.17783046828689983
compact_after_rule,cheap_features,ordinary_uncertainty,0.05,,1687,80,0.04742145820983995,0.0,0.0,62,229,71,1325,0.21305841924398625,0.0508595988538682,0.46616541353383456,0.17783046828689983
compact_after_rule,cheap_features,learned_decision_value,0.05,,1687,80,0.04742145820983995,0.007705986959098993,0.007705986959098993,61,230,57,1339,0.20962199312714777,0.04083094555873926,0.5169491525423728,0.17012448132780084
compact_after_rule,cheap_features,oracle_realized_value_diagnostic,0.05,,1687,80,0.04742145820983995,0.011855364552459988,0.011855364552459988,66,225,55,1341,0.2268041237113402,0.03939828080229226,0.5454545454545454,0.16597510373443983
compact_after_rule,cheap_features,ordinary_uncertainty,0.1,,1687,165,0.0978067575577949,0.005334914048606995,0.005334914048606995,60,231,60,1336,0.20618556701030927,0.04297994269340974,0.5,0.17249555423829283
compact_after_rule,cheap_features,learned_decision_value,0.1,,1687,165,0.0978067575577949,0.005927682276229994,0.005927682276229994,59,232,58,1338,0.2027491408934708,0.04154727793696275,0.5042735042735043,0.17190278601066983
compact_after_rule,cheap_features,oracle_realized_value_diagnostic,0.1,,1687,165,0.0978067575577949,0.011855364552459988,0.011855364552459988,66,225,55,1341,0.2268041237113402,0.03939828080229226,0.5454545454545454,0.16597510373443983
compact_after_rule,cheap_features,ordinary_uncertainty,0.2,,1687,335,0.1985773562537048,0.008298755186721992,0.008298755186721992,61,230,56,1340,0.20962199312714777,0.04011461318051576,0.5213675213675214,0.16953171310017784
compact_after_rule,cheap_features,learned_decision_value,0.2,,1687,335,0.1985773562537048,0.005334914048606995,0.005334914048606995,59,232,59,1337,0.2027491408934708,0.042263610315186245,0.5,0.17249555423829283
compact_after_rule,cheap_features,oracle_realized_value_diagnostic,0.2,,1687,335,0.1985773562537048,0.011855364552459988,0.011855364552459988,66,225,55,1341,0.2268041237113402,0.03939828080229226,0.5454545454545454,0.16597510373443983
compact_after_rule,cheap_features,ordinary_uncertainty,0.3,,1687,505,0.2993479549496147,0.006520450503852994,0.006520450503852994,62,229,60,1336,0.21305841924398625,0.04297994269340974,0.5081967213114754,0.17131001778304683
compact_after_rule,cheap_features,learned_decision_value,0.3,,1687,505,0.2993479549496147,0.005927682276229994,0.005927682276229994,59,232,58,1338,0.2027491408934708,0.04154727793696275,0.5042735042735043,0.17190278601066983
compact_after_rule,cheap_features,oracle_realized_value_diagnostic,0.3,,1687,505,0.2993479549496147,0.011855364552459988,0.011855364552459988,66,225,55,1341,0.2268041237113402,0.03939828080229226,0.5454545454545454,0.16597510373443983
compact_after_rule,cheap_features,ordinary_uncertainty,0.4,,1687,672,0.3983402489626556,0.005927682276229994,0.005927682276229994,62,229,61,1335,0.21305841924398625,0.04369627507163324,0.5040650406504065,0.17190278601066983
compact_after_rule,cheap_features,learned_decision_value,0.4,,1687,672,0.3983402489626556,0.004149377593360996,0.004149377593360996,59,232,61,1335,0.2027491408934708,0.04369627507163324,0.49166666666666664,0.17368109069353882
compact_after_rule,cheap_features,oracle_realized_value_diagnostic,0.4,,1687,672,0.3983402489626556,0.011855364552459988,0.011855364552459988,66,225,55,1341,0.2268041237113402,0.03939828080229226,0.5454545454545454,0.16597510373443983
compact_after_rule,cheap_features,ordinary_uncertainty,0.5,,1687,842,0.4991108476585655,0.005334914048606995,0.005334914048606995,62,229,62,1334,0.21305841924398625,0.044412607449856735,0.5,0.17249555423829283
compact_after_rule,cheap_features,learned_decision_value,0.5,,1687,842,0.4991108476585655,0.004149377593360996,0.004149377593360996,59,232,61,1335,0.2027491408934708,0.04369627507163324,0.49166666666666664,0.17368109069353882
compact_after_rule,cheap_features,oracle_realized_value_diagnostic,0.5,,1687,842,0.4991108476585655,0.011855364552459988,0.011855364552459988,66,225,55,1341,0.2268041237113402,0.03939828080229226,0.5454545454545454,0.16597510373443983
compact_after_rule,cheap_features,ordinary_uncertainty,0.6,,1687,1010,0.5986959098992294,0.005334914048606995,0.005334914048606995,62,229,62,1334,0.21305841924398625,0.044412607449856735,0.5,0.17249555423829283
compact_after_rule,cheap_features,learned_decision_value,0.6,,1687,1010,0.5986959098992294,0.0035566093657379964,0.0035566093657379964,59,232,62,1334,0.2027491408934708,0.044412607449856735,0.48760330578512395,0.17427385892116182
compact_after_rule,cheap_features,oracle_realized_value_diagnostic,0.6,,1687,1010,0.5986959098992294,0.011855364552459988,0.011855364552459988,66,225,55,1341,0.2268041237113402,0.03939828080229226,0.5454545454545454,0.16597510373443983
compact_after_rule,cheap_features,ordinary_uncertainty,0.75,,1687,1262,0.7480735032602253,0.004149377593360996,0.004149377593360996,62,229,64,1332,0.21305841924398625,0.045845272206303724,0.49206349206349204,0.17368109069353882
compact_after_rule,cheap_features,learned_decision_value,0.75,,1687,1262,0.7480735032602253,0.0035566093657379964,0.0035566093657379964,59,232,62,1334,0.2027491408934708,0.044412607449856735,0.48760330578512395,0.17427385892116182
compact_after_rule,cheap_features,oracle_realized_value_diagnostic,0.75,,1687,1262,0.7480735032602253,0.011855364552459988,0.011855364552459988,66,225,55,1341,0.2268041237113402,0.03939828080229226,0.5454545454545454,0.16597510373443983
compact_after_rule,cheap_features,ordinary_uncertainty,1.0,,1687,1687,1.0,0.0035566093657379964,0.0035566093657379964,62,229,65,1331,0.21305841924398625,0.04656160458452722,0.4881889763779528,0.17427385892116182
compact_after_rule,cheap_features,learned_decision_value,1.0,,1687,1687,1.0,0.0035566093657379964,0.0035566093657379964,62,229,65,1331,0.21305841924398625,0.04656160458452722,0.4881889763779528,0.17427385892116182
compact_after_rule,cheap_features,oracle_realized_value_diagnostic,1.0,,1687,1687,1.0,0.0035566093657379964,0.0035566093657379964,62,229,65,1331,0.21305841924398625,0.04656160458452722,0.4881889763779528,0.17427385892116182
compact_after_rule,frozen_embedding,ordinary_uncertainty,0.0,,1687,0,0.0,0.0,0.0,62,229,71,1325,0.21305841924398625,0.0508595988538682,0.46616541353383456,0.17783046828689983
compact_after_rule,frozen_embedding,learned_decision_value,0.0,,1687,0,0.0,0.0,0.0,62,229,71,1325,0.21305841924398625,0.0508595988538682,0.46616541353383456,0.17783046828689983
compact_after_rule,frozen_embedding,oracle_realized_value_diagnostic,0.0,,1687,0,0.0,0.0,0.0,62,229,71,1325,0.21305841924398625,0.0508595988538682,0.46616541353383456,0.17783046828689983
compact_after_rule,frozen_embedding,ordinary_uncertainty,0.05,,1687,80,0.04742145820983995,0.0,0.0,62,229,71,1325,0.21305841924398625,0.0508595988538682,0.46616541353383456,0.17783046828689983
compact_after_rule,frozen_embedding,learned_decision_value,0.05,,1687,80,0.04742145820983995,-0.0005927682276229994,-0.0005927682276229994,61,230,71,1325,0.20962199312714777,0.0508595988538682,0.4621212121212121,0.17842323651452283
compact_after_rule,frozen_embedding,oracle_realized_value_diagnostic,0.05,,1687,80,0.04742145820983995,0.011855364552459988,0.011855364552459988,66,225,55,1341,0.2268041237113402,0.03939828080229226,0.5454545454545454,0.16597510373443983
compact_after_rule,frozen_embedding,ordinary_uncertainty,0.1,,1687,165,0.0978067575577949,0.005334914048606995,0.005334914048606995,60,231,60,1336,0.20618556701030927,0.04297994269340974,0.5,0.17249555423829283
compact_after_rule,frozen_embedding,learned_decision_value,0.1,,1687,165,0.0978067575577949,0.0,0.0,61,230,70,1326,0.20962199312714777,0.050143266475644696,0.46564885496183206,0.17783046828689983
