setup_id,outer_fold,feature_family,train_n,eval_n,numeric_feature_n,embedding_used,pca_components,pca_explained_variance_ratio_sum,selected_candidate_id,selected_params_json,selected_inner_cv_mse,selected_inner_fold_mse_json,mse,mae,spearman,positive_value_average_precision,fit_and_predict_seconds
compact_after_rule,0,cheap_features,1349,338,4,False,0,,0,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 30}",0.024102054780205218,"[0.02995227788780954, 0.017581397158967973, 0.018989005427354266, 0.029868178934203612]",0.013101959045610479,0.03181379392436641,0.18680470780799874,0.7361111111111112,4.3951492109990795
compact_after_rule,0,frozen_embedding,1349,338,0,True,32,0.5042293363866022,1,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 20}",0.02472588705972661,"[0.030823217445667263, 0.019412908047066687, 0.017229129301913924, 0.03142020047575428]",0.02043166615968992,0.04998167065856699,-0.04101558653510944,0.011223679093945805,15.107375929997943
compact_after_rule,0,runtime_metadata,1349,338,6,False,0,,0,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 30}",0.02440250038197577,"[0.02961555804705049, 0.019961698725764327, 0.01716181087706569, 0.030855464864179637]",0.018023044429145672,0.040671543800715027,0.022690598382557974,0.34163764189886475,4.608814338003867
compact_after_rule,0,cheap_plus_metadata,1349,338,8,False,0,,0,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 30}",0.023967422585882435,"[0.028931473632917152, 0.020490073615792054, 0.01781578395119994, 0.02861762902181932]",0.014310521257430438,0.03392664123776324,0.1390505087167833,0.618140243902439,4.635438211997098
compact_after_rule,0,cheap_plus_embedding,1349,338,4,True,32,0.5042804965424832,0,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 30}",0.025417918916747488,"[0.030588618669958767, 0.019096555130914256, 0.020054935114483988, 0.031916223428923106]",0.01743251428560601,0.04273486885784975,0.16141692437001148,0.11523131036647025,16.133045597998716
compact_after_rule,0,all_features,1349,338,8,True,32,0.504246919412314,0,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 30}",0.024604504148691177,"[0.0287612714775117, 0.019592891258370642, 0.019447896511826775, 0.030603622725901808]",0.017465080387647033,0.04181058652885283,0.11397460698019415,0.1435224336387127,15.84331921300327
compact_after_rule,1,cheap_features,1350,337,4,False,0,,0,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 30}",0.010829934302093835,"[0.011787251742064695, 0.00813988869329855, 0.006012009194804241, 0.017358374647095175]",0.003683887889686554,0.013575141682058107,-0.05983722056324755,0.0036231884057971015,4.24649673300155
compact_after_rule,1,frozen_embedding,1350,337,0,True,32,0.5026556962175552,0,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 30}",0.011628370591013928,"[0.012287100793159852, 0.007660211422438856, 0.00742499491209514, 0.01911699909775981]",0.0036168311618186345,0.020759255349030944,0.03140371465106638,0.008849557522123894,16.125358044002496
compact_after_rule,1,runtime_metadata,1350,337,6,False,0,,0,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 30}",0.011207736508980277,"[0.012048437526087506, 0.006625792662161113, 0.00676649495867981, 0.019363525074208306]",0.003401112741642469,0.01446175502976546,-0.0039262541259049225,0.00558659217877095,4.79027044299437
compact_after_rule,1,cheap_plus_metadata,1350,337,8,False,0,,0,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 30}",0.01129952138109303,"[0.011763463003952517, 0.008785398126579996, 0.006231034834987533, 0.01839575580204551]",0.003691667124505962,0.015765255416913492,0.012625502465603492,0.006802721088435374,4.784375278999505
