setup_id,feature_family,primary_comparison,mse,mae,spearman,positive_value_average_precision,integrated_advantage,paired_bootstrap_lower95,paired_bootstrap_upper95,predictability_criterion_pass
compact_after_rule,all_features,False,0.019460226416963454,0.041389227750582534,0.08380544677227093,0.24795175445341291,0.00011855364552460012,-0.0020895080023710724,0.0021339656194427977,False
compact_after_rule,cheap_features,False,0.018622409296676433,0.03362023974600418,0.06628449229846742,0.36316661304926323,-0.0005631298162418494,-0.0028015708358032007,0.0015263781861292235,False
compact_after_rule,cheap_plus_embedding,False,0.019712330728071804,0.04187723585968744,0.10346643639708694,0.2306799642286023,0.0009632483698873742,-0.001319279786603438,0.0033639596917605223,False
compact_after_rule,cheap_plus_metadata,False,0.019084171398257486,0.037785426173014336,0.07484558458421321,0.2649226401415876,5.9276822762299994e-05,-0.0022228808535862477,0.0023710729104919974,False
compact_after_rule,frozen_embedding,False,0.021261473687101753,0.0444842241161798,0.019224269161681417,0.019622504861172212,-0.0023117960877296977,-0.005498295791345585,0.0009343509187907485,False
compact_after_rule,runtime_metadata,False,0.021084373966935736,0.041335010089054026,0.03231479596602542,0.04916538415363432,-0.001985773562537048,-0.004875889152341434,0.0009347213989330115,False
qwen_after_rule_compact,all_features,True,0.16619439807388806,0.25519661065794086,0.2529097773267688,0.3619088063914902,0.00481624184943687,-0.0017045791345583882,0.011485254890337877,False
qwen_after_rule_compact,cheap_features,False,0.16930945240918283,0.24315472645351946,0.21085989208232406,0.328049546041835,0.0006224066390041483,-0.0055872110254890335,0.006402267338470655,False
qwen_after_rule_compact,cheap_plus_embedding,False,0.16696847118237454,0.25252896010219794,0.2454857187959033,0.343944461462626,0.005245998814463544,-0.0010080764671013642,0.011411158861885,False
qwen_after_rule_compact,cheap_plus_metadata,False,0.1663298087074876,0.2412725773133831,0.24425561552886685,0.3646253885332317,0.00469768820391227,-0.0017201393005334914,0.010967323651452275,False
qwen_after_rule_compact,frozen_embedding,False,0.17928336599513636,0.2658039080014746,0.12166115981606093,0.2436756578230838,-0.00942501481920569,-0.017887522228808534,-0.0011384854771784379,False
qwen_after_rule_compact,runtime_metadata,False,0.17196212156968932,0.2512427823221084,0.20942484022299826,0.3016836713972344,-0.0003704801422643757,-0.007513707765263782,0.006357809721398931,False
