layer,contrast,seed,stack,policy_kind,target_key,left_risk_gate_pass,left_recall,left_fpr,left_row_fpr_upper95,left_dependency_group_event_upper95,left_outer_acquisition_rate,left_decision_threshold,left_acquisition_threshold,right_risk_gate_pass,right_recall,right_fpr,right_row_fpr_upper95,right_dependency_group_event_upper95,right_outer_acquisition_rate,right_decision_threshold,right_acquisition_threshold,pass_flip,left_pass_right_fail,left_fail_right_pass,delta_recall_left_minus_right,delta_fpr_left_minus_right,delta_row_fpr_upper95_left_minus_right,delta_dependency_group_event_upper95_left_minus_right,delta_outer_acquisition_rate_left_minus_right,delta_decision_threshold_left_minus_right,delta_acquisition_threshold_left_minus_right
fixed_policy_measurement,grouping_at_audited,1729,compact_to_qwen,cheap_only,anchor,False,0.18309859154929578,0.04871060171919771,0.0721711346734761,0.0721711346734761,,,,False,0.18309859154929578,0.04871060171919771,0.0721711346734761,0.0725819148103667,,,,False,False,False,0.0,0.0,0.0,-0.00041078013689059556,,,
fixed_policy_measurement,grouping_at_audited,1729,compact_to_qwen,full_information,anchor,False,0.8732394366197183,0.04011461318051576,0.06200219374162649,0.06200219374162649,,,,False,0.8732394366197183,0.04011461318051576,0.06200219374162649,0.06235543281596552,,,,False,False,False,0.0,0.0,0.0,-0.00035323907433902624,,,
fixed_policy_measurement,grouping_at_audited,1729,compact_to_qwen,selective_deployable,0.10,True,0.323943661971831,0.025787965616045846,0.04456857254031658,0.04456857254031658,,,,True,0.323943661971831,0.025787965616045846,0.04456857254031658,0.044822948705678975,,,,False,False,False,0.0,0.0,0.0,-0.000254376165362398,,,
fixed_policy_measurement,grouping_at_audited,1729,compact_to_qwen,selective_deployable,0.25,False,0.5774647887323944,0.045845272206303724,0.0688005183497085,0.0688005183497085,,,,False,0.5774647887323944,0.045845272206303724,0.0688005183497085,0.06919223556730196,,,,False,False,False,0.0,0.0,0.0,-0.0003917172175934569,,,
fixed_policy_measurement,grouping_at_audited,1729,compact_to_qwen,selective_deployable,0.50,False,0.7183098591549296,0.03151862464183381,0.05163164376229004,0.05163164376229004,,,,False,0.7183098591549296,0.03151862464183381,0.05163164376229004,0.05192610743152733,,,,False,False,False,0.0,0.0,0.0,-0.0002944636692372854,,,
fixed_policy_measurement,grouping_at_audited,1729,rule_compact_to_qwen,cheap_only,anchor,False,0.22535211267605634,0.10028653295128939,0.13076132938123652,0.13076132938123652,,,,False,0.22535211267605634,0.10028653295128939,0.13076132938123652,0.13150205052075944,,,,False,False,False,0.0,0.0,0.0,-0.0007407211395229207,,,
fixed_policy_measurement,grouping_at_audited,1729,rule_compact_to_qwen,full_information,anchor,False,0.8309859154929577,0.04011461318051576,0.06200219374162649,0.06200219374162649,,,,False,0.8309859154929577,0.04011461318051576,0.06200219374162649,0.06235543281596552,,,,False,False,False,0.0,0.0,0.0,-0.00035323907433902624,,,
fixed_policy_measurement,grouping_at_audited,1729,rule_compact_to_qwen,selective_deployable,0.10,False,0.36619718309859156,0.08022922636103152,0.10834438899688771,0.10834438899688771,,,,False,0.36619718309859156,0.08022922636103152,0.10834438899688771,0.10895917901725036,,,,False,False,False,0.0,0.0,0.0,-0.0006147900203626461,,,
fixed_policy_measurement,grouping_at_audited,1729,rule_compact_to_qwen,selective_deployable,0.25,True,0.5352112676056338,0.025787965616045846,0.04456857254031658,0.04456857254031658,,,,True,0.5352112676056338,0.025787965616045846,0.04456857254031658,0.044822948705678975,,,,False,False,False,0.0,0.0,0.0,-0.000254376165362398,,,
fixed_policy_measurement,grouping_at_audited,1729,rule_compact_to_qwen,selective_deployable,0.50,False,0.7746478873239436,0.04011461318051576,0.06200219374162649,0.06200219374162649,,,,False,0.7746478873239436,0.04011461318051576,0.06200219374162649,0.06235543281596552,,,,False,False,False,0.0,0.0,0.0,-0.00035323907433902624,,,
fixed_policy_measurement,grouping_at_audited,1729,rule_to_compact,cheap_only,anchor,False,0.22535211267605634,0.10028653295128939,0.13076132938123652,0.13076132938123652,,,,False,0.22535211267605634,0.10028653295128939,0.13076132938123652,0.13150205052075944,,,,False,False,False,0.0,0.0,0.0,-0.0007407211395229207,,,
fixed_policy_measurement,grouping_at_audited,1729,rule_to_compact,full_information,anchor,False,0.22535211267605634,0.10028653295128939,0.13076132938123652,0.13076132938123652,,,,False,0.22535211267605634,0.10028653295128939,0.13076132938123652,0.13150205052075944,,,,False,False,False,0.0,0.0,0.0,-0.0007407211395229207,,,
fixed_policy_measurement,grouping_at_audited,1729,rule_to_compact,selective_deployable,0.10,False,0.22535211267605634,0.10028653295128939,0.13076132938123652,0.13076132938123652,,,,False,0.22535211267605634,0.10028653295128939,0.13076132938123652,0.13150205052075944,,,,False,False,False,0.0,0.0,0.0,-0.0007407211395229207,,,
fixed_policy_measurement,grouping_at_audited,1729,rule_to_compact,selective_deployable,0.25,False,0.22535211267605634,0.09455587392550144,0.12439292439465133,0.12439292439465133,,,,False,0.22535211267605634,0.09455587392550144,0.12439292439465133,0.12509790712815239,,,,False,False,False,0.0,0.0,0.0,-0.0007049827335010583,,,
fixed_policy_measurement,grouping_at_audited,1729,rule_to_compact,selective_deployable,0.50,False,0.22535211267605634,0.10028653295128939,0.13076132938123652,0.13076132938123652,,,,False,0.22535211267605634,0.10028653295128939,0.13076132938123652,0.13150205052075944,,,,False,False,False,0.0,0.0,0.0,-0.0007407211395229207,,,
fixed_policy_measurement,grouping_at_audited,2718,compact_to_qwen,cheap_only,anchor,False,0.028169014084507043,0.03724928366762178,0.05857079629240329,0.05857079629240329,,,,False,0.028169014084507043,0.03724928366762178,0.05857079629240329,0.05890459855125166,,,,False,False,False,0.0,0.0,0.0,-0.00033380225884836745,,,
fixed_policy_measurement,grouping_at_audited,2718,compact_to_qwen,full_information,anchor,False,0.8732394366197183,0.05730659025787966,0.08218591616153102,0.08218591616153102,,,,False,0.8732394366197183,0.05730659025787966,0.08218591616153102,0.08265328077456838,,,,False,False,False,0.0,0.0,0.0,-0.0004673646130373549,,,
fixed_policy_measurement,grouping_at_audited,2718,compact_to_qwen,selective_deployable,0.10,False,0.22535211267605634,0.08022922636103152,0.10834438899688771,0.10834438899688771,,,,False,0.22535211267605634,0.08022922636103152,0.10834438899688771,0.10895917901725036,,,,False,False,False,0.0,0.0,0.0,-0.0006147900203626461,,,
