layer,factor_label_condition,factor_grouping_condition,measurement_label_condition,measurement_grouping_condition,seed,stack,policy_kind,target_key,target_rate,policy_source,outer_rows_source,n,positive_n,negative_n,tp,fn,fp,tn,recall,fpr,precision,row_fpr_upper95,negative_dependency_groups,failed_dependency_groups,dependency_group_event_rate,dependency_group_event_upper95,risk_gate_pass,train_n,selection_n,outer_n,training_label_column,training_group_column,acquisition_threshold,decision_threshold,selection_acquisition_rate,outer_acquisition_rate,selection_recall,selection_fpr
fixed_policy_measurement,original,singleton_weak,original,singleton_weak,1729,rule_compact_to_qwen,selective_deployable,0.25,0.25,frozen_audited_dependency_primary_pilot_predictions,frozen_baseline_outer_holdout,420,71,349,36,35,11,338,0.5070422535211268,0.03151862464183381,0.7659574468085106,0.05163164376229004,349,11,0.03151862464183381,0.05163164376229004,False,,,,,,,,,,,
fixed_policy_measurement,audited,dependency_primary,audited,dependency_primary,1729,rule_compact_to_qwen,selective_deployable,0.50,0.5,frozen_audited_dependency_primary_pilot_predictions,frozen_baseline_outer_holdout,420,71,349,55,16,14,335,0.7746478873239436,0.04011461318051576,0.7971014492753623,0.06200219374162649,347,14,0.040345821325648415,0.06235543281596552,False,,,,,,,,,,,
fixed_policy_measurement,audited,singleton_weak,audited,singleton_weak,1729,rule_compact_to_qwen,selective_deployable,0.50,0.5,frozen_audited_dependency_primary_pilot_predictions,frozen_baseline_outer_holdout,420,71,349,55,16,14,335,0.7746478873239436,0.04011461318051576,0.7971014492753623,0.06200219374162649,349,14,0.04011461318051576,0.06200219374162649,False,,,,,,,,,,,
fixed_policy_measurement,original,dependency_primary,original,dependency_primary,1729,rule_compact_to_qwen,selective_deployable,0.50,0.5,frozen_audited_dependency_primary_pilot_predictions,frozen_baseline_outer_holdout,420,71,349,55,16,14,335,0.7746478873239436,0.04011461318051576,0.7971014492753623,0.06200219374162649,347,14,0.040345821325648415,0.06235543281596552,False,,,,,,,,,,,
fixed_policy_measurement,original,singleton_weak,original,singleton_weak,1729,rule_compact_to_qwen,selective_deployable,0.50,0.5,frozen_audited_dependency_primary_pilot_predictions,frozen_baseline_outer_holdout,420,71,349,55,16,14,335,0.7746478873239436,0.04011461318051576,0.7971014492753623,0.06200219374162649,349,14,0.04011461318051576,0.06200219374162649,False,,,,,,,,,,,
fixed_policy_measurement,audited,dependency_primary,audited,dependency_primary,1729,rule_to_compact,cheap_only,anchor,,frozen_audited_dependency_primary_pilot_predictions,frozen_baseline_outer_holdout,420,71,349,16,55,35,314,0.22535211267605634,0.10028653295128939,0.3137254901960784,0.13076132938123652,347,35,0.10086455331412104,0.13150205052075944,False,,,,,,,,,,,
fixed_policy_measurement,audited,singleton_weak,audited,singleton_weak,1729,rule_to_compact,cheap_only,anchor,,frozen_audited_dependency_primary_pilot_predictions,frozen_baseline_outer_holdout,420,71,349,16,55,35,314,0.22535211267605634,0.10028653295128939,0.3137254901960784,0.13076132938123652,349,35,0.10028653295128939,0.13076132938123652,False,,,,,,,,,,,
fixed_policy_measurement,original,dependency_primary,original,dependency_primary,1729,rule_to_compact,cheap_only,anchor,,frozen_audited_dependency_primary_pilot_predictions,frozen_baseline_outer_holdout,420,71,349,15,56,36,313,0.2112676056338028,0.10315186246418338,0.29411764705882354,0.13393571721255926,347,36,0.1037463976945245,0.1346942415693272,False,,,,,,,,,,,
fixed_policy_measurement,original,singleton_weak,original,singleton_weak,1729,rule_to_compact,cheap_only,anchor,,frozen_audited_dependency_primary_pilot_predictions,frozen_baseline_outer_holdout,420,71,349,15,56,36,313,0.2112676056338028,0.10315186246418338,0.29411764705882354,0.13393571721255926,349,36,0.10315186246418338,0.13393571721255926,False,,,,,,,,,,,
fixed_policy_measurement,audited,dependency_primary,audited,dependency_primary,1729,rule_to_compact,full_information,anchor,,frozen_audited_dependency_primary_pilot_predictions,frozen_baseline_outer_holdout,420,71,349,16,55,35,314,0.22535211267605634,0.10028653295128939,0.3137254901960784,0.13076132938123652,347,35,0.10086455331412104,0.13150205052075944,False,,,,,,,,,,,
fixed_policy_measurement,audited,singleton_weak,audited,singleton_weak,1729,rule_to_compact,full_information,anchor,,frozen_audited_dependency_primary_pilot_predictions,frozen_baseline_outer_holdout,420,71,349,16,55,35,314,0.22535211267605634,0.10028653295128939,0.3137254901960784,0.13076132938123652,349,35,0.10028653295128939,0.13076132938123652,False,,,,,,,,,,,
fixed_policy_measurement,original,dependency_primary,original,dependency_primary,1729,rule_to_compact,full_information,anchor,,frozen_audited_dependency_primary_pilot_predictions,frozen_baseline_outer_holdout,420,71,349,15,56,36,313,0.2112676056338028,0.10315186246418338,0.29411764705882354,0.13393571721255926,347,36,0.1037463976945245,0.1346942415693272,False,,,,,,,,,,,
fixed_policy_measurement,original,singleton_weak,original,singleton_weak,1729,rule_to_compact,full_information,anchor,,frozen_audited_dependency_primary_pilot_predictions,frozen_baseline_outer_holdout,420,71,349,15,56,36,313,0.2112676056338028,0.10315186246418338,0.29411764705882354,0.13393571721255926,349,36,0.10315186246418338,0.13393571721255926,False,,,,,,,,,,,
fixed_policy_measurement,audited,dependency_primary,audited,dependency_primary,1729,rule_to_compact,selective_deployable,0.10,0.1,frozen_audited_dependency_primary_pilot_predictions,frozen_baseline_outer_holdout,420,71,349,16,55,35,314,0.22535211267605634,0.10028653295128939,0.3137254901960784,0.13076132938123652,347,35,0.10086455331412104,0.13150205052075944,False,,,,,,,,,,,
fixed_policy_measurement,audited,singleton_weak,audited,singleton_weak,1729,rule_to_compact,selective_deployable,0.10,0.1,frozen_audited_dependency_primary_pilot_predictions,frozen_baseline_outer_holdout,420,71,349,16,55,35,314,0.22535211267605634,0.10028653295128939,0.3137254901960784,0.13076132938123652,349,35,0.10028653295128939,0.13076132938123652,False,,,,,,,,,,,
