family,policy_id,n,positive_n,negative_n,tp,fn,fp,tn,recall,fpr,precision,accuracy,intercept_rate,avg_cost_ms,median_cost_ms,p95_cost_ms,rule_call_rate,compact_call_rate,qwen_call_rate,policy_details_json
cost_tuned_cascade,cascade_rl0_rh0.3812_cl0.006242_ch0.4674_q0.5,421,70,351,61,9,52,299,0.8714285714285714,0.14814814814814814,0.5398230088495575,0.8551068883610451,0.2684085510688836,934.3803657897862,1407.7604254999999,1407.7604254999999,1.0,0.8622327790973872,0.6579572446555819,"{""compact_high_intercept_threshold"": 0.46738710564095515, ""compact_low_allow_threshold"": 0.006241543400392402, ""qwen_threshold"": 0.5, ""route"": ""rule allow/intercept bands; compact allow/intercept bands; Qwen only for unresolved examples"", ""rule_high_intercept_threshold"": 0.38120501563149356, ""rule_low_allow_threshold"": 0.0}"
cost_tuned_cascade,cascade_rl0_rh0.3812_cl0.006242_ch0.4674_q1,421,70,351,59,11,46,305,0.8428571428571429,0.13105413105413105,0.5619047619047619,0.8646080760095012,0.2494061757719715,934.3803657897862,1407.7604254999999,1407.7604254999999,1.0,0.8622327790973872,0.6579572446555819,"{""compact_high_intercept_threshold"": 0.46738710564095515, ""compact_low_allow_threshold"": 0.006241543400392402, ""qwen_threshold"": 1.0, ""route"": ""rule allow/intercept bands; compact allow/intercept bands; Qwen only for unresolved examples"", ""rule_high_intercept_threshold"": 0.38120501563149356, ""rule_low_allow_threshold"": 0.0}"
cost_tuned_cascade,cascade_rl0_rh0.3812_cl0.006242_ch0.6219_q0.5,421,70,351,61,9,52,299,0.8714285714285714,0.14814814814814814,0.5398230088495575,0.8551068883610451,0.2684085510688836,934.3803657897862,1407.7604254999999,1407.7604254999999,1.0,0.8622327790973872,0.6579572446555819,"{""compact_high_intercept_threshold"": 0.6218601455306608, ""compact_low_allow_threshold"": 0.006241543400392402, ""qwen_threshold"": 0.5, ""route"": ""rule allow/intercept bands; compact allow/intercept bands; Qwen only for unresolved examples"", ""rule_high_intercept_threshold"": 0.38120501563149356, ""rule_low_allow_threshold"": 0.0}"
cost_tuned_cascade,cascade_rl0_rh0.3812_cl0.006242_ch0.6219_q1,421,70,351,59,11,46,305,0.8428571428571429,0.13105413105413105,0.5619047619047619,0.8646080760095012,0.2494061757719715,934.3803657897862,1407.7604254999999,1407.7604254999999,1.0,0.8622327790973872,0.6579572446555819,"{""compact_high_intercept_threshold"": 0.6218601455306608, ""compact_low_allow_threshold"": 0.006241543400392402, ""qwen_threshold"": 1.0, ""route"": ""rule allow/intercept bands; compact allow/intercept bands; Qwen only for unresolved examples"", ""rule_high_intercept_threshold"": 0.38120501563149356, ""rule_low_allow_threshold"": 0.0}"
cost_tuned_cascade,cascade_rl0_rh0.3812_cl0.007173_ch0.009884_q0.5,421,70,351,54,16,108,243,0.7714285714285715,0.3076923076923077,0.3333333333333333,0.7054631828978623,0.3847980997624703,313.45397229928744,39.121621000000005,1407.7604254999999,1.0,0.8622327790973872,0.2042755344418052,"{""compact_high_intercept_threshold"": 0.009883562399772927, ""compact_low_allow_threshold"": 0.0071728967886883765, ""qwen_threshold"": 0.5, ""route"": ""rule allow/intercept bands; compact allow/intercept bands; Qwen only for unresolved examples"", ""rule_high_intercept_threshold"": 0.38120501563149356, ""rule_low_allow_threshold"": 0.0}"
cost_tuned_cascade,cascade_rl0_rh0.3812_cl0.007173_ch0.009884_q1,421,70,351,53,17,106,245,0.7571428571428571,0.301994301994302,0.3333333333333333,0.7078384798099763,0.37767220902612825,313.45397229928744,39.121621000000005,1407.7604254999999,1.0,0.8622327790973872,0.2042755344418052,"{""compact_high_intercept_threshold"": 0.009883562399772927, ""compact_low_allow_threshold"": 0.0071728967886883765, ""qwen_threshold"": 1.0, ""route"": ""rule allow/intercept bands; compact allow/intercept bands; Qwen only for unresolved examples"", ""rule_high_intercept_threshold"": 0.38120501563149356, ""rule_low_allow_threshold"": 0.0}"
cost_tuned_cascade,cascade_rl0_rh0.3812_cl0.007173_ch0.01579_q0.5,421,70,351,54,16,75,276,0.7714285714285715,0.21367521367521367,0.4186046511627907,0.7838479809976246,0.30641330166270786,476.00014860570076,39.121621000000005,1407.7604254999999,1.0,0.8622327790973872,0.32304038004750596,"{""compact_high_intercept_threshold"": 0.015788078011246414, ""compact_low_allow_threshold"": 0.0071728967886883765, ""qwen_threshold"": 0.5, ""route"": ""rule allow/intercept bands; compact allow/intercept bands; Qwen only for unresolved examples"", ""rule_high_intercept_threshold"": 0.38120501563149356, ""rule_low_allow_threshold"": 0.0}"
cost_tuned_cascade,cascade_rl0_rh0.3812_cl0.007173_ch0.01579_q1,421,70,351,53,17,70,281,0.7571428571428571,0.19943019943019943,0.43089430894308944,0.7933491686460807,0.2921615201900237,476.00014860570076,39.121621000000005,1407.7604254999999,1.0,0.8622327790973872,0.32304038004750596,"{""compact_high_intercept_threshold"": 0.015788078011246414, ""compact_low_allow_threshold"": 0.0071728967886883765, ""qwen_threshold"": 1.0, ""route"": ""rule allow/intercept bands; compact allow/intercept bands; Qwen only for unresolved examples"", ""rule_high_intercept_threshold"": 0.38120501563149356, ""rule_low_allow_threshold"": 0.0}"
cost_tuned_cascade,cascade_rl0_rh0.3812_cl0.007173_ch0.04305_q0.5,421,70,351,54,16,56,295,0.7714285714285715,0.15954415954415954,0.4909090909090909,0.828978622327791,0.26128266033254155,554.0223132327791,39.121621000000005,1407.7604254999999,1.0,0.8622327790973872,0.38004750593824227,"{""compact_high_intercept_threshold"": 0.04304801925900388, ""compact_low_allow_threshold"": 0.0071728967886883765, ""qwen_threshold"": 0.5, ""route"": ""rule allow/intercept bands; compact allow/intercept bands; Qwen only for unresolved examples"", ""rule_high_intercept_threshold"": 0.38120501563149356, ""rule_low_allow_threshold"": 0.0}"
cost_tuned_cascade,cascade_rl0_rh0.3812_cl0.007173_ch0.04305_q1,421,70,351,53,17,51,300,0.7571428571428571,0.1452991452991453,0.5096153846153846,0.838479809976247,0.24703087885985747,554.0223132327791,39.121621000000005,1407.7604254999999,1.0,0.8622327790973872,0.38004750593824227,"{""compact_high_intercept_threshold"": 0.04304801925900388, ""compact_low_allow_threshold"": 0.0071728967886883765, ""qwen_threshold"": 1.0, ""route"": ""rule allow/intercept bands; compact allow/intercept bands; Qwen only for unresolved examples"", ""rule_high_intercept_threshold"": 0.38120501563149356, ""rule_low_allow_threshold"": 0.0}"
cost_tuned_cascade,cascade_rl0_rh0.3812_cl0.007173_ch0.4674_q0.5,421,70,351,54,16,50,301,0.7714285714285715,0.14245014245014245,0.5192307692307693,0.8432304038004751,0.24703087885985747,589.78247202019,39.121621000000005,1407.7604254999999,1.0,0.8622327790973872,0.40617577197149646,"{""compact_high_intercept_threshold"": 0.46738710564095515, ""compact_low_allow_threshold"": 0.0071728967886883765, ""qwen_threshold"": 0.5, ""route"": ""rule allow/intercept bands; compact allow/intercept bands; Qwen only for unresolved examples"", ""rule_high_intercept_threshold"": 0.38120501563149356, ""rule_low_allow_threshold"": 0.0}"
cost_tuned_cascade,cascade_rl0_rh0.3812_cl0.007173_ch0.4674_q1,421,70,351,53,17,45,306,0.7571428571428571,0.1282051282051282,0.5408163265306123,0.8527315914489311,0.2327790973871734,589.78247202019,39.121621000000005,1407.7604254999999,1.0,0.8622327790973872,0.40617577197149646,"{""compact_high_intercept_threshold"": 0.46738710564095515, ""compact_low_allow_threshold"": 0.0071728967886883765, ""qwen_threshold"": 1.0, ""route"": ""rule allow/intercept bands; compact allow/intercept bands; Qwen only for unresolved examples"", ""rule_high_intercept_threshold"": 0.38120501563149356, ""rule_low_allow_threshold"": 0.0}"
cost_tuned_cascade,cascade_rl0_rh0.3812_cl0.007173_ch0.6219_q0.5,421,70,351,54,16,50,301,0.7714285714285715,0.14245014245014245,0.5192307692307693,0.8432304038004751,0.24703087885985747,589.78247202019,39.121621000000005,1407.7604254999999,1.0,0.8622327790973872,0.40617577197149646,"{""compact_high_intercept_threshold"": 0.6218601455306608, ""compact_low_allow_threshold"": 0.0071728967886883765, ""qwen_threshold"": 0.5, ""route"": ""rule allow/intercept bands; compact allow/intercept bands; Qwen only for unresolved examples"", ""rule_high_intercept_threshold"": 0.38120501563149356, ""rule_low_allow_threshold"": 0.0}"
cost_tuned_cascade,cascade_rl0_rh0.3812_cl0.007173_ch0.6219_q1,421,70,351,53,17,45,306,0.7571428571428571,0.1282051282051282,0.5408163265306123,0.8527315914489311,0.2327790973871734,589.78247202019,39.121621000000005,1407.7604254999999,1.0,0.8622327790973872,0.40617577197149646,"{""compact_high_intercept_threshold"": 0.6218601455306608, ""compact_low_allow_threshold"": 0.0071728967886883765, ""qwen_threshold"": 1.0, ""route"": ""rule allow/intercept bands; compact allow/intercept bands; Qwen only for unresolved examples"", ""rule_high_intercept_threshold"": 0.38120501563149356, ""rule_low_allow_threshold"": 0.0}"
cost_tuned_cascade,cascade_rl0_rh0.3812_cl0.009102_ch0.009884_q0.5,421,70,351,42,28,105,246,0.6,0.29914529914529914,0.2857142857142857,0.684085510688836,0.3491686460807601,66.3837843135392,39.121621000000005,39.121621000000005,1.0,0.8622327790973872,0.023752969121140142,"{""compact_high_intercept_threshold"": 0.009883562399772927, ""compact_low_allow_threshold"": 0.009101854637265205, ""qwen_threshold"": 0.5, ""route"": ""rule allow/intercept bands; compact allow/intercept bands; Qwen only for unresolved examples"", ""rule_high_intercept_threshold"": 0.38120501563149356, ""rule_low_allow_threshold"": 0.0}"
cost_tuned_cascade,cascade_rl0_rh0.3812_cl0.009102_ch0.009884_q1,421,70,351,42,28,105,246,0.6,0.29914529914529914,0.2857142857142857,0.684085510688836,0.3491686460807601,66.3837843135392,39.121621000000005,39.121621000000005,1.0,0.8622327790973872,0.023752969121140142,"{""compact_high_intercept_threshold"": 0.009883562399772927, ""compact_low_allow_threshold"": 0.009101854637265205, ""qwen_threshold"": 1.0, ""route"": ""rule allow/intercept bands; compact allow/intercept bands; Qwen only for unresolved examples"", ""rule_high_intercept_threshold"": 0.38120501563149356, ""rule_low_allow_threshold"": 0.0}"
cost_tuned_cascade,cascade_rl0_rh0.3812_cl0.009102_ch0.01579_q0.5,421,70,351,42,28,72,279,0.6,0.20512820512820512,0.3684210526315789,0.7624703087885986,0.27078384798099764,228.92996061995248,39.121621000000005,1407.7604254999999,1.0,0.8622327790973872,0.14251781472684086,"{""compact_high_intercept_threshold"": 0.015788078011246414, ""compact_low_allow_threshold"": 0.009101854637265205, ""qwen_threshold"": 0.5, ""route"": ""rule allow/intercept bands; compact allow/intercept bands; Qwen only for unresolved examples"", ""rule_high_intercept_threshold"": 0.38120501563149356, ""rule_low_allow_threshold"": 0.0}"
cost_tuned_cascade,cascade_rl0_rh0.3812_cl0.009102_ch0.01579_q1,421,70,351,42,28,69,282,0.6,0.19658119658119658,0.3783783783783784,0.7695961995249406,0.26365795724465557,228.92996061995248,39.121621000000005,1407.7604254999999,1.0,0.8622327790973872,0.14251781472684086,"{""compact_high_intercept_threshold"": 0.015788078011246414, ""compact_low_allow_threshold"": 0.009101854637265205, ""qwen_threshold"": 1.0, ""route"": ""rule allow/intercept bands; compact allow/intercept bands; Qwen only for unresolved examples"", ""rule_high_intercept_threshold"": 0.38120501563149356, ""rule_low_allow_threshold"": 0.0}"
