target_fpr,policy,threshold,selection_recall,selection_fpr,selection_precision,selection_qwen_call_rate,router_low_allow_threshold,router_high_intercept_threshold,full_fusion_threshold
0.01,full_information_always_on,0.8473691955025828,0.21428571428571427,0.008547008547008548,0.8333333333333334,1.0,,,
0.01,selective_acquisition,,0.14285714285714285,0.008547008547008548,0.7692307692307693,0.22802850356294538,0.15860015741618402,0.4604073889795753,0.8528213175992094
0.025,full_information_always_on,0.8122963470848493,0.5285714285714286,0.017094017094017096,0.8604651162790697,1.0,,,
0.025,selective_acquisition,,0.5285714285714286,0.022792022792022793,0.8222222222222222,0.4014251781472684,0.1151756239368005,0.4604073889795753,0.8122963470848493
0.05,full_information_always_on,0.7978945539751471,0.8714285714285714,0.045584045584045586,0.7922077922077922,1.0,,,
0.05,selective_acquisition,,0.8142857142857143,0.04843304843304843,0.7702702702702703,0.7434679334916865,0.11015672473626197,0.4604073889795753,0.7979956781296518
0.1,full_information_always_on,0.05212744512812909,0.9142857142857143,0.09116809116809117,0.6666666666666666,1.0,,,
0.1,selective_acquisition,,0.9142857142857143,0.08831908831908832,0.6736842105263158,0.8717339667458432,0.10996751683081611,0.3513227553661314,0.2793260697072195
