split,family,policy_id,frozen_role,n,positives,negatives,tp,fp,tn,fn,recall,recall_ci95_low,recall_ci95_high,miss_rate_fnr,miss_rate_fnr_ci95_low,miss_rate_fnr_ci95_high,miss_rate_fnr_one_sided95_upper,fpr,fpr_ci95_low,fpr_ci95_high,fpr_one_sided95_upper,precision,intercept_rate,avg_cost_ms,median_cost_ms,p95_cost_ms,rule_call_rate,compact_call_rate,judge_call_rate,within_calibration_recall_ci95,within_calibration_fpr_ci95,diagnostic_note
calibration,cost_tuned_cascade,cascade_rl0_rh0.7498_cl0.005781_ch0.4674_j0.52,primary_budget_aware_policy,422,72,350,37,27,323,35,0.5138888888888888,0.3931000464796619,0.6334997211807669,0.4861111111111111,0.3665002788192331,0.606899953520338,0.5889419017013314,0.07714285714285714,0.05145097781395893,0.11025555066101833,0.10481438991555957,0.578125,0.15165876777251186,194.30033872545033,148.50413165648035,486.8362157125709,1.0,0.9289099526066351,0.7796208530805687,True,True,source of in-distribution finite-sample intervals after policy freeze
final_test,cost_tuned_cascade,cascade_rl0_rh0.7498_cl0.005781_ch0.4674_j0.52,primary_budget_aware_policy,422,72,350,42,20,330,30,0.5833333333333334,0.4611132583957715,0.6984788317689608,0.4166666666666667,0.30152116823103925,0.5388867416042286,0.5204254594341718,0.05714285714285714,0.035250038986872144,0.08687530403173505,0.08195420981145023,0.6774193548387096,0.14691943127962084,186.390191107999,145.69468112518535,477.98224675652244,1.0,0.9289099526066351,0.8175355450236966,True,True,in-distribution held-out evaluation; not used for policy selection
held_out_shift,cost_tuned_cascade,cascade_rl0_rh0.7498_cl0.005781_ch0.4674_j0.52,primary_budget_aware_policy,50,34,16,26,9,7,8,0.7647058823529411,0.5882921580928333,0.8925381842249919,0.23529411764705882,0.10746181577500809,0.4117078419071668,0.3846567466725869,0.5625,0.2987768990831778,0.8024658594673321,0.7733084315337126,0.7428571428571429,0.7,74.18424498747015,95.93248899983564,104.39564582188083,1.0,0.86,0.76,False,False,GCG attack-family shift diagnostic only; calibration interval validity is not claimed
