policy,requested_budget,acquired_n,acquisition_rate,decision_loss,accuracy,total_risk_with_cost,fpr,recall,fnr,decision_loss_reduction_vs_never,context_a_acquisition_rate,context_b_acquisition_rate,oracle_value_captured_per_example,seed
random,0.6,7200,0.6,0.14566666666666667,0.8543333333333334,0.15766666666666668,0.14504065040650407,0.8536752136752137,0.1463247863247863,0.05875,0.6067472306143001,0.5933465739821251,0.05930606328821459,0
uncertainty,0.6,7200,0.6,0.12,0.88,0.132,0.11658536585365854,0.8764102564102564,0.12358974358974362,0.08441666666666667,0.6010406176569318,0.5989738497186362,0.08575722519332189,0
oracle_decision_value,0.6,7200,0.6,0.10958333333333334,0.8904166666666666,0.12158333333333333,0.10682926829268292,0.8875213675213676,0.11247863247863243,0.09483333333333333,1.0,0.20556107249255212,0.09753733435899824,0
learned_value,0.6,7200,0.6,0.11,0.89,0.122,0.10764227642276422,0.8875213675213676,0.11247863247863243,0.09441666666666666,0.963074857334676,0.24197285666997684,0.09727707996503172,0
random,0.75,9000,0.75,0.13266666666666665,0.8673333333333333,0.14766666666666667,0.13008130081300814,0.8646153846153846,0.13538461538461544,0.07175000000000001,0.7519301779120511,0.7480966567361801,0.0733432006231908,0
uncertainty,0.75,9000,0.75,0.11391666666666667,0.8860833333333333,0.12891666666666668,0.11105691056910569,0.8830769230769231,0.11692307692307691,0.0905,0.7457200402819738,0.7542204568023834,0.09296672972462634,0
oracle_decision_value,0.75,9000,0.75,0.10958333333333334,0.8904166666666666,0.12458333333333334,0.10682926829268292,0.8875213675213676,0.11247863247863243,0.09483333333333333,1.0,0.5034756703078451,0.09753733435899824,0
learned_value,0.75,9000,0.75,0.11,0.89,0.125,0.10764227642276422,0.8875213675213676,0.11247863247863243,0.09441666666666666,0.963074857334676,0.5398874544852698,0.09727707996503172,0
random,1.0,12000,1.0,0.10958333333333334,0.8904166666666666,0.12958333333333333,0.10682926829268292,0.8875213675213676,0.11247863247863243,0.09483333333333333,1.0,1.0,0.09753733435899824,0
uncertainty,1.0,12000,1.0,0.10958333333333334,0.8904166666666666,0.12958333333333333,0.10682926829268292,0.8875213675213676,0.11247863247863243,0.09483333333333333,1.0,1.0,0.09753733435899824,0
oracle_decision_value,1.0,12000,1.0,0.10958333333333334,0.8904166666666666,0.12958333333333333,0.10682926829268292,0.8875213675213676,0.11247863247863243,0.09483333333333333,1.0,1.0,0.09753733435899824,0
learned_value,1.0,12000,1.0,0.10958333333333334,0.8904166666666666,0.12958333333333333,0.10682926829268292,0.8875213675213676,0.11247863247863243,0.09483333333333333,1.0,1.0,0.09753733435899824,0
random,0.0,0,0.0,0.21233333333333335,0.7876666666666666,0.21233333333333335,0.21433344470431007,0.78965746591287,0.21034253408713,0.0,0.0,0.0,0.0,1
uncertainty,0.0,0,0.0,0.21233333333333335,0.7876666666666666,0.21233333333333335,0.21433344470431007,0.78965746591287,0.21034253408713,0.0,0.0,0.0,0.0,1
oracle_decision_value,0.0,0,0.0,0.21233333333333335,0.7876666666666666,0.21233333333333335,0.21433344470431007,0.78965746591287,0.21034253408713,0.0,0.0,0.0,0.0,1
learned_value,0.0,0,0.0,0.21233333333333335,0.7876666666666666,0.21233333333333335,0.21433344470431007,0.78965746591287,0.21034253408713,0.0,0.0,0.0,0.0,1
random,0.05,600,0.05,0.20725,0.7927500000000001,0.20825,0.2089876378215837,0.794479547721982,0.20552045227801796,0.005083333333333356,0.049892968878643175,0.050109667622743374,0.00494223111410407,1
uncertainty,0.05,600,0.05,0.20158333333333334,0.7984166666666667,0.20258333333333334,0.20197126628800535,0.7988027934818757,0.20119720651812434,0.01075000000000001,0.048904989296887864,0.051121984140374555,0.01139637735331916,1
oracle_decision_value,0.05,600,0.05,0.19108333333333333,0.8089166666666667,0.19208333333333333,0.18994320080187102,0.8077818423678085,0.19221815763219152,0.02125000000000002,0.09879795817553104,0.0,0.022132558246618507,1
learned_value,0.05,600,0.05,0.19191666666666668,0.8080833333333333,0.19291666666666668,0.18743735382559304,0.8036248752909877,0.1963751247090123,0.020416666666666666,0.09879795817553104,0.0,0.020407272848621445,1
