requested_budget,comparator,seed_n,loss_reduction_vs_uncertainty_mean,loss_reduction_vs_uncertainty_se,loss_reduction_vs_uncertainty_ci95_lower,loss_reduction_vs_uncertainty_ci95_upper
0.0,learned_value,30,0.0,0.0,0.0,0.0
0.0,oracle_decision_value,30,0.0,0.0,0.0,0.0
0.0,random,30,0.0,0.0,0.0,0.0
0.05,learned_value,30,0.009155555555555554,0.00022913342961110425,0.008686925073311397,0.009624186037799711
0.05,oracle_decision_value,30,0.01043888888888889,0.00012203922210769853,0.010189290654331409,0.010688487123446371
0.05,random,30,-0.006563888888888888,0.0001787606034389213,-0.006929495373887699,-0.006198282403890077
0.1,learned_value,30,0.01643888888888889,0.0003231671308560476,0.01577793789349912,0.017099839884278656
0.1,oracle_decision_value,30,0.018483333333333334,0.0002546314292285185,0.017962553586456553,0.019004113080210116
0.1,random,30,-0.01221111111111111,0.00022752532500943024,-0.012676452650156274,-0.011745769572065946
0.2,learned_value,30,0.02555555555555556,0.00027238051539740636,0.024998474851525402,0.02611263625958572
0.2,oracle_decision_value,30,0.02770555555555556,0.0002664370818855018,0.02716063053791999,0.028250480573191128
0.2,random,30,-0.020802777777777778,0.00032591073233191836,-0.021469340068232194,-0.02013621548732336
0.25,learned_value,30,0.027838888888888892,0.0002303563973866224,0.027367757156698872,0.028310020621078912
0.25,oracle_decision_value,30,0.029444444444444443,0.00028796455424938064,0.02885549080221008,0.030033398086678806
0.25,random,30,-0.023894444444444444,0.00036529990245190924,-0.024641566633207275,-0.023147322255681613
0.3,learned_value,30,0.028555555555555553,0.0002922021175141935,0.027957935123321582,0.029153175987789524
0.3,oracle_decision_value,30,0.02963611111111111,0.00030571617164862656,0.02901085133477601,0.03026137088744621
0.3,random,30,-0.026061111111111104,0.0003778031318965454,-0.02683380527535649,-0.02528841694686572
0.4,learned_value,30,0.025294444444444442,0.0002166347358335902,0.024851376661201997,0.025737512227686887
0.4,oracle_decision_value,30,0.02601111111111111,0.00020590474637723337,0.025589988620364577,0.026432233601857643
0.4,random,30,-0.028713888888888886,0.000325915630642576,-0.029380461197513457,-0.028047316580264315
0.5,learned_value,30,0.018655555555555557,0.00024052057916023364,0.018163635737514124,0.01914747537359699
0.5,oracle_decision_value,30,0.018822222222222226,0.0002421083074255787,0.018327055135268857,0.019317389309175596
0.5,random,30,-0.028880555555555562,0.0003401056136520432,-0.029576149638052454,-0.02818496147305867
0.6,learned_value,30,0.011358333333333337,0.00018148449511402976,0.010987155864338636,0.011729510802328038
0.6,oracle_decision_value,30,0.011411111111111115,0.0001835740901462125,0.01103565994041654,0.01178656228180569
0.6,random,30,-0.02658055555555555,0.00037941701207333794,-0.027356550475377363,-0.02580456063573374
0.75,learned_value,30,0.00416111111111111,0.00010162577952188712,0.003953263054428104,0.004368959167794117
0.75,oracle_decision_value,30,0.0042138888888888885,0.00010144890104481836,0.004006402589310239,0.004421375188467538
0.75,random,30,-0.019458333333333334,0.00025072532074428447,-0.019971124191352774,-0.018945542475313895
1.0,learned_value,30,0.0,0.0,0.0,0.0
1.0,oracle_decision_value,30,0.0,0.0,0.0,0.0
1.0,random,30,0.0,0.0,0.0,0.0
