fpr,tpr_recall,threshold
0.0,0.0,inf
0.0,0.006944444444444444,0.992609747685492
0.0,0.020833333333333332,0.9500222853384912
0.005714285714285714,0.020833333333333332,0.8175067030824721
0.005714285714285714,0.027777777777777776,0.6923049259930849
0.01,0.027777777777777776,0.5969789763912559
0.01,0.034722222222222224,0.5655356482602656
0.011428571428571429,0.034722222222222224,0.5608269167132676
0.011428571428571429,0.041666666666666664,0.5016726632602513
0.014285714285714285,0.041666666666666664,0.49096751818433404
0.014285714285714285,0.04861111111111111,0.47640666109509766
0.015714285714285715,0.04861111111111111,0.4659188059158623
0.015714285714285715,0.05555555555555555,0.40796661376953125
0.02142857142857143,0.05555555555555555,0.2662648814730346
0.02142857142857143,0.0625,0.2502006196882576
0.025714285714285714,0.0625,0.21520515345036983
0.025714285714285714,0.0763888888888889,0.1291118651861325
0.03857142857142857,0.0763888888888889,0.04808375029824674
0.03857142857142857,0.08333333333333333,0.04720341903157532
0.045714285714285714,0.08333333333333333,0.042650060378946364
0.045714285714285714,0.09027777777777778,0.04184977733530104
0.05142857142857143,0.09027777777777778,0.03309922944754362
0.05142857142857143,0.09722222222222222,0.03079350828193128
0.05285714285714286,0.09722222222222222,0.03052910219412297
0.05285714285714286,0.10416666666666667,0.030475771869532764
0.054285714285714284,0.10416666666666667,0.029438251571264118
0.054285714285714284,0.1111111111111111,0.028604993596673012
0.055714285714285716,0.1111111111111111,0.028430964099243283
0.055714285714285716,0.11805555555555555,0.028272279538214207
0.06285714285714286,0.11805555555555555,0.022394532046746463
0.06285714285714286,0.1388888888888889,0.021052581840194762
0.06857142857142857,0.1388888888888889,0.019046752713620663
0.06857142857142857,0.14583333333333334,0.018420980195514858
0.07142857142857142,0.14583333333333334,0.01813944155583158
0.07142857142857142,0.1597222222222222,0.01778796606231481
0.07285714285714286,0.1597222222222222,0.017566027760040015
0.07285714285714286,0.16666666666666666,0.017355471616610885
0.07857142857142857,0.16666666666666666,0.016889181511942297
0.07857142857142857,0.1736111111111111,0.01683831959962845
0.09285714285714286,0.1736111111111111,0.01487002067733556
0.09285714285714286,0.18055555555555555,0.014789179957006127
0.09428571428571429,0.18055555555555555,0.014771877671591938
0.09428571428571429,0.1875,0.014708678441820666
0.09714285714285714,0.1875,0.014484904648270458
0.09714285714285714,0.19444444444444445,0.014125468180282041
0.1,0.19444444444444445,0.014117308135610074
0.1,0.2013888888888889,0.014092242403421551
0.10428571428571429,0.2013888888888889,0.013984172197524458
0.10428571428571429,0.20833333333333334,0.013889250694774091
0.10714285714285714,0.20833333333333334,0.013776128267636523
0.10714285714285714,0.2152777777777778,0.013500240253051743
0.11142857142857143,0.2152777777777778,0.013281412771902978
0.11142857142857143,0.2222222222222222,0.01326351222814992
0.11285714285714285,0.2222222222222222,0.013228390889707953
0.11285714285714285,0.22916666666666666,0.013213257188908756
0.11571428571428571,0.22916666666666666,0.013040424179052934
0.11571428571428571,0.2361111111111111,0.012985979410586879
0.11857142857142858,0.2361111111111111,0.012675940117333084
0.11857142857142858,0.2569444444444444,0.012615661544259638
0.12,0.2569444444444444,0.012544108991278335
