precision,recall,threshold
0.17061611374407584,1.0,0.005245877604465932
0.1708185053380783,1.0,0.005292946356348693
0.171021377672209,1.0,0.005302426710841246
0.17122473246135553,1.0,0.005356699490221217
0.17142857142857143,1.0,0.005357452333555557
0.17163289630512515,1.0,0.005358829395845532
0.1718377088305489,1.0,0.005361895193345845
0.17204301075268819,1.0,0.005367986697820015
0.1722488038277512,1.0,0.005414319894043729
0.1724550898203593,1.0,0.005415918349171989
0.17266187050359713,1.0,0.005419325709226541
0.17286914765906364,1.0,0.005436087769339792
0.17307692307692307,1.0,0.005442161200335249
0.17328519855595667,1.0,0.00544506600999739
0.17349397590361446,1.0,0.005457779232528992
0.17370325693606756,1.0,0.005464056637720205
0.17391304347826086,1.0,0.005464512738399208
0.17412333736396615,1.0,0.005466527072712779
0.17433414043583534,1.0,0.005469377647386864
0.17454545454545456,1.0,0.005472599994391203
0.17475728155339806,1.0,0.00547659736184869
0.17496962332928312,1.0,0.005479673447553068
0.17518248175182483,1.0,0.005489338014740497
0.1753958587088916,1.0,0.005489795599714853
0.17560975609756097,1.0,0.0055030381481628865
0.17582417582417584,1.0,0.005508684000233188
0.17603911980440098,1.0,0.0055271808232646435
0.1762545899632803,1.0,0.005534349678782746
0.17647058823529413,1.0,0.005537569348234683
0.17668711656441718,1.0,0.005538038210943341
0.1769041769041769,1.0,0.00554514629766345
0.17712177121771217,1.0,0.005553948256419972
0.17733990147783252,1.0,0.0055657869088463485
0.17632552404438964,0.9930555555555556,0.005586436091107316
0.1765432098765432,0.9930555555555556,0.0055886009213281795
0.17676143386897405,0.9930555555555556,0.00558999483473599
0.17698019801980197,0.9930555555555556,0.005594834918156266
0.1771995043370508,0.9930555555555556,0.005595375201664865
0.1774193548387097,0.9930555555555556,0.005600770382443443
0.17763975155279504,0.9930555555555556,0.005600817647064105
0.17786069651741293,0.9930555555555556,0.00560437238891609
0.1780821917808219,0.9930555555555556,0.00560505676548928
0.17830423940149626,0.9930555555555556,0.0056057746696751565
0.17852684144818975,0.9930555555555556,0.005611162225250155
0.1775,0.9861111111111112,0.005614106456050649
0.17772215269086358,0.9861111111111112,0.005615233138087206
0.17794486215538846,0.9861111111111112,0.0056168565060943365
0.178168130489335,0.9861111111111112,0.005620638083200902
0.17839195979899497,0.9861111111111112,0.005626275946269743
0.17861635220125785,0.9861111111111112,0.005635073612211272
0.17884130982367757,0.9861111111111112,0.00563993034302257
0.17906683480453972,0.9861111111111112,0.005641502764774486
0.17929292929292928,0.9861111111111112,0.005645285767968744
0.179519595448799,0.9861111111111112,0.005653559361235239
0.17974683544303796,0.9861111111111112,0.005656818117131479
0.17997465145754118,0.9861111111111112,0.005658252339344472
0.1802030456852792,0.9861111111111112,0.0056582964898552746
0.18043202033036848,0.9861111111111112,0.005664833530317992
0.1806615776081425,0.9861111111111112,0.005675076157785952
0.18089171974522292,0.9861111111111112,0.005677792272763327
