precision,recall,threshold
0.17061611374407584,1.0,0.0
0.2394736842105263,0.6319444444444444,0.012422199506118559
0.24010554089709762,0.6319444444444444,0.024690087971667385
0.24054054054054055,0.6180555555555556,0.06058693718652419
0.24119241192411925,0.6180555555555556,0.07225651367144714
0.24512534818941503,0.6111111111111112,0.08378112834912232
0.24929178470254956,0.6111111111111112,0.09516258196404048
0.24786324786324787,0.6041666666666666,0.10640265289148432
0.24566473988439305,0.5902777777777778,0.12846565000284216
0.2694805194805195,0.5763888888888888,0.1392920235749422
0.2679738562091503,0.5694444444444444,0.16054297923079264
0.2706270627062706,0.5694444444444444,0.17097088181959963
0.26714801444043323,0.5138888888888888,0.17097088181959974
0.27007299270072993,0.5138888888888888,0.18126924692201807
0.27205882352941174,0.5138888888888888,0.18126924692201818
0.2693726937269373,0.5069444444444444,0.20148378124062294
0.28286852589641437,0.4930555555555556,0.22119921692859512
0.2782258064516129,0.4791666666666667,0.23087363563142949
0.2816326530612245,0.4791666666666667,0.24042787677503152
0.27983539094650206,0.4722222222222222,0.24986343322901816
0.2863247863247863,0.4652777777777778,0.2591817793182821
0.2920353982300885,0.4583333333333333,0.2683843710533582
0.2914798206278027,0.4513888888888889,0.28644802529349755
0.29545454545454547,0.4513888888888889,0.304065686321358
0.2968036529680365,0.4513888888888889,0.31271072120902776
0.2985781990521327,0.4375,0.3212483657485856
0.2980769230769231,0.4305555555555556,0.3296799539643607
0.2946859903381642,0.4236111111111111,0.338006803309166
0.30303030303030304,0.4166666666666667,0.3462302148701527
0.30569948186528495,0.4097222222222222,0.35435147357210794
0.31382978723404253,0.4097222222222222,0.36237184837822667
0.32386363636363635,0.3958333333333333,0.3623718483782268
0.3218390804597701,0.3888888888888889,0.37029259248838997
0.3179190751445087,0.3819444444444444,0.3781149435349799
0.3176470588235294,0.375,0.37811494353498
0.3136094674556213,0.3680555555555556,0.3858401237762622
0.31736526946107785,0.3680555555555556,0.3858401237762623
0.3192771084337349,0.3680555555555556,0.3934693402873666
0.31901840490797545,0.3611111111111111,0.40100378514889456
0.3227848101265823,0.3541666666666667,0.4084446356331849
0.3269230769230769,0.3541666666666667,0.4157930543882642
0.32903225806451614,0.3541666666666667,0.42305018961951335
0.33112582781456956,0.3472222222222222,0.430217175269077
0.3333333333333333,0.3333333333333333,0.4302171752690771
0.3356643356643357,0.3333333333333333,0.44428516333642853
0.33098591549295775,0.3263888888888889,0.44428516333642865
0.3333333333333333,0.3263888888888889,0.4511883639059736
0.34814814814814815,0.3263888888888889,0.4580058115408129
0.3458646616541353,0.3194444444444444,0.4647385714810097
0.34375,0.3055555555555556,0.47138769573400263
0.34959349593495936,0.2986111111111111,0.47138769573400274
0.3524590163934426,0.2986111111111111,0.47795422323898396
0.35833333333333334,0.2986111111111111,0.4844391800292359
0.35294117647058826,0.2916666666666667,0.484439180029236
0.3559322033898305,0.2916666666666667,0.4908435793924508
0.3565217391304348,0.2847222222222222,0.497168422029059
0.35964912280701755,0.2847222222222222,0.5034146962085905
0.36036036036036034,0.2777777777777778,0.5095833779240939
0.36363636363636365,0.2777777777777778,0.5156754310446376
0.3577981651376147,0.2708333333333333,0.5216918074659159
0.3611111111111111,0.2708333333333333,0.5276334472589853
0.37254901960784315,0.2638888888888889,0.5450191732818264
0.37623762376237624,0.2638888888888889,0.5506710358827784
0.38,0.2638888888888889,0.5617650075350507
0.37755102040816324,0.2569444444444444,0.5617650075350508
0.3829787234042553,0.25,0.5617650075350509
0.3870967741935484,0.25,0.5725850680512734
0.391304347826087,0.25,0.5778945016078345
0.4,0.25,0.5883163234964615
0.4090909090909091,0.25,0.5934303402594008
0.4186046511627907,0.25,0.5934303402594009
0.41975308641975306,0.2361111111111111,0.5984808296858333
0.4125,0.22916666666666666,0.6034685809250071
0.4177215189873418,0.22916666666666666,0.608394373323201
0.43243243243243246,0.2222222222222222,0.622807646436843
0.4383561643835616,0.2222222222222222,0.6274932051049871
0.4444444444444444,0.2222222222222222,0.6366904306409887
0.44285714285714284,0.2152777777777778,0.6412035345940483
0.4492753623188406,0.2152777777777778,0.6500622508888447
0.4626865671641791,0.2152777777777778,0.6587022446990063
0.4696969696969697,0.2152777777777778,0.6629419135063457
0.47619047619047616,0.20833333333333334,0.6671289163019204
0.4838709677419355,0.20833333333333334,0.6753475326416503
0.48333333333333334,0.2013888888888889,0.6833632306209467
0.5087719298245614,0.2013888888888889,0.6988057880877978
0.5272727272727272,0.2013888888888889,0.7098914164363446
0.5370370370370371,0.2013888888888889,0.7098914164363448
0.5283018867924528,0.19444444444444445,0.7134952031398099
0.5192307692307693,0.1875,0.7170542228858672
0.54,0.1875,0.7205690317785927
0.5510204081632653,0.1875,0.7308536512708161
0.5531914893617021,0.18055555555555555,0.7341970409110734
0.5652173913043478,0.18055555555555555,0.7407597393541085
0.5454545454545454,0.16666666666666666,0.7471604041952535
0.5581395348837209,0.16666666666666666,0.7503012280973864
0.5714285714285714,0.16666666666666666,0.7534030360583935
0.5609756097560976,0.1597222222222222,0.7594915367916578
0.55,0.1527777777777778,0.7624791809045419
0.5384615384615384,0.14583333333333334,0.7712212729547775
0.5526315789473685,0.14583333333333334,0.7712212729547776
0.5833333333333334,0.14583333333333334,0.7740632079448891
0.6,0.14583333333333334,0.7929924473188473
0.6176470588235294,0.14583333333333334,0.8006114808314648
0.6060606060606061,0.1388888888888889,0.8079500913792459
0.625,0.1388888888888889,0.8103357736592647
0.6129032258064516,0.13194444444444445,0.8103357736592648
0.6,0.125,0.8305165505005299
0.5714285714285714,0.1111111111111111,0.8367544875460415
0.5925925925925926,0.1111111111111111,0.8387823558702232
0.5769230769230769,0.10416666666666667,0.8541242431437727
0.56,0.09722222222222222,0.8594932853152819
0.5416666666666666,0.09027777777777778,0.8612386877570447
0.5652173913043478,0.09027777777777778,0.8680061568121697
0.5454545454545454,0.08333333333333333,0.8728642670679644
0.5714285714285714,0.08333333333333333,0.8946007754381357
0.55,0.0763888888888889,0.8997411562771962
0.5789473684210527,0.0763888888888889,0.9081409553312711
0.6111111111111112,0.0763888888888889,0.9199416872132795
0.6470588235294118,0.0763888888888889,0.9336293275474143
0.625,0.06944444444444445,0.9360721387932924
0.6666666666666666,0.06944444444444445,0.939945332104692
0.7142857142857143,0.06944444444444445,0.9406913431705612
0.6923076923076923,0.0625,0.9470019415966442
0.6666666666666666,0.05555555555555555,0.96311683259876
0.6363636363636364,0.04861111111111111,0.964915645899155
0.6,0.041666666666666664,0.9690381661768231
0.6666666666666666,0.041666666666666664,0.9888910034617577
0.625,0.034722222222222224,0.9959639952516804
0.5714285714285714,0.027777777777777776,0.9963480718843497
0.5,0.020833333333333332,0.9970100541436869
0.4,0.013888888888888888,0.9979705693637043
0.25,0.006944444444444444,0.9984194778312638
0.3333333333333333,0.006944444444444444,0.9986897011001881
0.0,0.0,0.9995298693861222
0.0,0.0,0.9999141148826918
1.0,0.0,
