fpr,tpr_recall,threshold
0.0,0.0,inf
0.0014285714285714286,0.0,0.9999141148826918
0.002857142857142857,0.0,0.9995298693861222
0.002857142857142857,0.006944444444444444,0.9986897011001881
0.004285714285714286,0.006944444444444444,0.9984194778312638
0.004285714285714286,0.041666666666666664,0.9888910034617577
0.005714285714285714,0.041666666666666664,0.9690381661768231
0.005714285714285714,0.06944444444444445,0.9406913431705612
0.008571428571428572,0.06944444444444445,0.9360721387932924
0.008571428571428572,0.0763888888888889,0.9336293275474143
0.012857142857142857,0.0763888888888889,0.8997411562771962
0.012857142857142857,0.08333333333333333,0.8946007754381357
0.014285714285714285,0.08333333333333333,0.8728642670679644
0.014285714285714285,0.09027777777777778,0.8680061568121697
0.015714285714285715,0.09027777777777778,0.8612386877570447
0.015714285714285715,0.1111111111111111,0.8387823558702232
0.017142857142857144,0.1111111111111111,0.8367544875460415
0.017142857142857144,0.125,0.8305165505005299
0.017142857142857144,0.1388888888888889,0.8103357736592647
0.018571428571428572,0.1388888888888889,0.8079500913792459
0.018571428571428572,0.14583333333333334,0.8006114808314648
0.02142857142857143,0.14583333333333334,0.7740632079448891
0.024285714285714285,0.14583333333333334,0.7712212729547776
0.025714285714285714,0.14583333333333334,0.7712212729547775
0.025714285714285714,0.16666666666666666,0.7534030360583935
0.02857142857142857,0.16666666666666666,0.7471604041952535
0.02857142857142857,0.18055555555555555,0.7407597393541085
0.03,0.18055555555555555,0.7341970409110734
0.03142857142857143,0.1875,0.7308536512708161
0.032857142857142856,0.1875,0.7205690317785927
0.03571428571428571,0.1875,0.7170542228858672
0.03571428571428571,0.2013888888888889,0.7098914164363448
0.037142857142857144,0.2013888888888889,0.7098914164363446
0.04,0.2013888888888889,0.6988057880877978
0.04428571428571428,0.2013888888888889,0.6833632306209467
0.045714285714285714,0.20833333333333334,0.6753475326416503
0.047142857142857146,0.20833333333333334,0.6671289163019204
0.05,0.2152777777777778,0.6629419135063457
0.05142857142857143,0.2152777777777778,0.6587022446990063
0.054285714285714284,0.2152777777777778,0.6500622508888447
0.055714285714285716,0.2152777777777778,0.6412035345940483
0.05714285714285714,0.2222222222222222,0.6366904306409887
0.06,0.2222222222222222,0.622807646436843
0.06571428571428571,0.22916666666666666,0.608394373323201
0.06714285714285714,0.22916666666666666,0.6034685809250071
0.06714285714285714,0.2361111111111111,0.5984808296858333
0.07142857142857142,0.25,0.5934303402594009
0.08,0.25,0.5778945016078345
0.08285714285714285,0.25,0.5617650075350509
0.08714285714285715,0.2569444444444444,0.5617650075350508
0.08857142857142856,0.2638888888888889,0.5617650075350507
0.09142857142857143,0.2638888888888889,0.5450191732818264
0.09857142857142857,0.2708333333333333,0.5276334472589853
0.1,0.2708333333333333,0.5216918074659159
0.1,0.2777777777777778,0.5156754310446376
0.10142857142857142,0.2777777777777778,0.5095833779240939
0.10428571428571429,0.2847222222222222,0.5034146962085905
0.10571428571428572,0.2847222222222222,0.497168422029059
0.10857142857142857,0.2916666666666667,0.4908435793924508
0.11,0.2916666666666667,0.484439180029236
0.11,0.2986111111111111,0.4844391800292359
0.11285714285714285,0.2986111111111111,0.47795422323898396
0.11428571428571428,0.2986111111111111,0.47138769573400274
0.12,0.3055555555555556,0.47138769573400263
0.12428571428571429,0.3194444444444444,0.4647385714810097
0.12571428571428572,0.3263888888888889,0.4580058115408129
0.13428571428571429,0.3263888888888889,0.4511883639059736
0.1357142857142857,0.3263888888888889,0.44428516333642865
0.1357142857142857,0.3333333333333333,0.44428516333642853
0.13714285714285715,0.3333333333333333,0.4302171752690771
0.1442857142857143,0.3472222222222222,0.430217175269077
0.14857142857142858,0.3541666666666667,0.42305018961951335
0.15,0.3541666666666667,0.4157930543882642
0.15285714285714286,0.3541666666666667,0.4084446356331849
0.15857142857142856,0.3611111111111111,0.40100378514889456
0.16142857142857142,0.3680555555555556,0.3934693402873666
0.16285714285714287,0.3680555555555556,0.3858401237762623
0.1657142857142857,0.3680555555555556,0.3858401237762622
0.1657142857142857,0.375,0.37811494353498
0.16857142857142857,0.3819444444444444,0.3781149435349799
0.16857142857142857,0.3888888888888889,0.37029259248838997
0.17,0.3958333333333333,0.3623718483782268
0.18428571428571427,0.4097222222222222,0.36237184837822667
0.19142857142857142,0.4097222222222222,0.35435147357210794
0.19714285714285715,0.4166666666666667,0.3462302148701527
0.20857142857142857,0.4236111111111111,0.338006803309166
0.20857142857142857,0.4305555555555556,0.3296799539643607
0.21142857142857144,0.4375,0.3212483657485856
0.22,0.4513888888888889,0.31271072120902776
0.22142857142857142,0.4513888888888889,0.304065686321358
0.2257142857142857,0.4513888888888889,0.28644802529349755
0.22857142857142856,0.4583333333333333,0.2683843710533582
0.23857142857142857,0.4652777777777778,0.2591817793182821
0.25,0.4722222222222222,0.24986343322901816
0.25142857142857145,0.4791666666666667,0.24042787677503152
0.2557142857142857,0.4791666666666667,0.23087363563142949
0.2571428571428571,0.4930555555555556,0.22119921692859512
0.28285714285714286,0.5069444444444444,0.20148378124062294
0.28285714285714286,0.5138888888888888,0.18126924692201818
0.2857142857142857,0.5138888888888888,0.18126924692201807
0.29,0.5138888888888888,0.17097088181959974
0.3157142857142857,0.5694444444444444,0.17097088181959963
0.32,0.5694444444444444,0.16054297923079264
0.32142857142857145,0.5763888888888888,0.1392920235749422
0.37285714285714283,0.5902777777777778,0.12846565000284216
0.37714285714285717,0.6041666666666666,0.10640265289148432
0.37857142857142856,0.6111111111111112,0.09516258196404048
