target_fpr,policy,threshold,selection_recall,selection_fpr,selection_precision,selection_expensive_call_rate,router_low_allow_threshold,router_high_intercept_threshold,full_fusion_threshold
0.01,full_information_always_on,0.8442621922964101,0.1527777777777778,0.0057306590257879654,0.8461538461538461,1.0,,,
0.01,selective_acquisition,,0.08333333333333333,0.008595988538681949,0.6666666666666666,0.22802850356294538,0.15802126649665704,0.4507164959197266,0.9456684446875787
0.025,full_information_always_on,0.8081338575180576,0.5,0.02005730659025788,0.8372093023255814,1.0,,,
0.025,selective_acquisition,,0.4583333333333333,0.022922636103151862,0.8048780487804879,0.4014251781472684,0.11598826093524817,0.4507164959197266,0.8101884423609798
0.05,full_information_always_on,0.795132701939999,0.8611111111111112,0.04297994269340974,0.8051948051948052,1.0,,,
0.05,selective_acquisition,,0.8194444444444444,0.04871060171919771,0.7763157894736842,0.7862232779097387,0.11093913214764221,0.4507164959197266,0.7952364435069699
0.1,full_information_always_on,0.04982838863595816,0.9166666666666666,0.08882521489971347,0.6804123711340206,1.0,,,
0.1,selective_acquisition,,0.9166666666666666,0.09455587392550144,0.6666666666666666,0.8717339667458432,0.11079763049882384,0.34527443631803184,0.04763892486033439
